,Date,Location,Reduction_in_hydropower_demand,Running_total,Location_running_total
0,2031-06-01,Hydro_Alcova[GwH],1.0,1156.0,1.0
1,2036-05-01,Hydro_Alcova[GwH],1.0,4354.0,2.0
2,2038-09-01,Hydro_Alcova[GwH],-1.0,5741.0,1.0
3,2041-03-01,Hydro_Alcova[GwH],1.0,8091.0,2.0
4,2041-10-01,Hydro_Alcova[GwH],-1.0,8703.0,1.0
5,2042-03-01,Hydro_Alcova[GwH],1.0,9075.0,2.0
6,2042-08-01,Hydro_Alcova[GwH],-1.0,9415.0,1.0
7,2043-03-01,Hydro_Alcova[GwH],1.0,9871.0,2.0
8,2043-05-01,Hydro_Alcova[GwH],2.0,9697.0,4.0
9,2043-06-01,Hydro_Alcova[GwH],1.0,9729.0,5.0
10,2043-08-01,Hydro_Alcova[GwH],-1.0,10037.0,4.0
11,2044-03-01,Hydro_Alcova[GwH],1.0,10738.0,5.0
12,2044-05-01,Hydro_Alcova[GwH],1.0,10756.0,6.0
13,2044-06-01,Hydro_Alcova[GwH],1.0,10728.0,7.0
14,2044-09-01,Hydro_Alcova[GwH],-1.0,11121.0,6.0
15,2045-03-01,Hydro_Alcova[GwH],1.0,11680.0,7.0
16,2045-05-01,Hydro_Alcova[GwH],1.0,11778.0,8.0
17,2046-03-01,Hydro_Alcova[GwH],1.0,12741.0,9.0
18,2046-04-01,Hydro_Alcova[GwH],1.0,12868.0,10.0
19,2047-03-01,Hydro_Alcova[GwH],1.0,13654.0,11.0
20,2047-05-01,Hydro_Alcova[GwH],1.0,13671.0,12.0
21,2047-06-01,Hydro_Alcova[GwH],1.0,13660.0,13.0
22,2047-09-01,Hydro_Alcova[GwH],-1.0,13892.0,12.0
23,2048-03-01,Hydro_Alcova[GwH],1.0,14006.0,13.0
24,2048-04-01,Hydro_Alcova[GwH],2.0,13971.0,15.0
25,2048-05-01,Hydro_Alcova[GwH],1.0,13986.0,16.0
26,2048-06-01,Hydro_Alcova[GwH],1.0,14031.0,17.0
27,2048-08-01,Hydro_Alcova[GwH],-1.0,14377.0,16.0
28,2049-03-01,Hydro_Alcova[GwH],2.0,15106.0,18.0
29,2049-05-01,Hydro_Alcova[GwH],3.0,15215.0,21.0
30,2049-06-01,Hydro_Alcova[GwH],2.0,15387.0,23.0
31,2049-09-01,Hydro_Alcova[GwH],-1.0,15915.0,22.0
