,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-12-01,Unmet_Dem_IN_CA_LADWP[AF],2978.0,7229451.0,2978.0
1,2049-05-01,Unmet_Dem_IN_CA_LADWP[AF],1047.0,7809318.0,4025.0
2,2050-05-01,Unmet_Dem_IN_CA_LADWP[AF],3899.0,8616758.0,7924.0
3,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],3829.0,11873657.0,11753.0
4,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],11852.0,12856702.0,23605.0
5,2055-06-01,Unmet_Dem_IN_CA_LADWP[AF],12350.0,13090024.0,35955.0
6,2056-05-01,Unmet_Dem_IN_CA_LADWP[AF],10675.0,14305242.0,46630.0
7,2056-06-01,Unmet_Dem_IN_CA_LADWP[AF],2624.0,14516332.0,49254.0
8,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],2354.0,17170580.0,51608.0
9,2060-12-01,Unmet_Dem_IN_CA_LADWP[AF],5916.0,18858638.0,57524.0
10,2061-05-01,Unmet_Dem_IN_CA_LADWP[AF],15472.0,19197202.0,72996.0
11,2061-06-01,Unmet_Dem_IN_CA_LADWP[AF],8209.0,19437321.0,81205.0
12,2062-05-01,Unmet_Dem_IN_CA_LADWP[AF],16367.0,20899859.0,97572.0
13,2062-06-01,Unmet_Dem_IN_CA_LADWP[AF],9820.0,21128752.0,107392.0
14,2063-12-01,Unmet_Dem_IN_CA_LADWP[AF],3286.0,22766914.0,110678.0
15,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],3172.0,22924794.0,113850.0
16,2065-12-01,Unmet_Dem_IN_CA_LADWP[AF],4630.0,24345840.0,118480.0
17,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],12071.0,24739444.0,130551.0
18,2069-04-01,Unmet_Dem_IN_CA_LADWP[AF],1698.0,28145814.0,132249.0
19,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],31912.0,28354579.0,164161.0
20,2069-06-01,Unmet_Dem_IN_CA_LADWP[AF],27447.0,28579950.0,191608.0
21,2069-09-01,Unmet_Dem_IN_CA_LADWP[AF],6230.0,29027040.0,197838.0
22,2069-10-01,Unmet_Dem_IN_CA_LADWP[AF],30601.0,29227337.0,228439.0
23,2069-11-01,Unmet_Dem_IN_CA_LADWP[AF],21273.0,29475660.0,249712.0
24,2070-03-01,Unmet_Dem_IN_CA_LADWP[AF],15304.0,30414542.0,265016.0
25,2070-04-01,Unmet_Dem_IN_CA_LADWP[AF],32951.0,30621732.0,297967.0
26,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],35942.0,30840055.0,333909.0
27,2070-06-01,Unmet_Dem_IN_CA_LADWP[AF],41825.0,31016416.0,375734.0
28,2070-07-01,Unmet_Dem_IN_CA_LADWP[AF],-3274.0,31152475.0,372460.0
29,2070-09-01,Unmet_Dem_IN_CA_LADWP[AF],3276.0,31546951.0,375736.0
30,2070-10-01,Unmet_Dem_IN_CA_LADWP[AF],2208.0,31716966.0,377944.0
31,2011-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-13.0,-51.0,-13.0
32,2011-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-19.0,-123.0,-32.0
33,2014-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-97.0,-963.0,-129.0
34,2014-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-88.0,-1285.0,-217.0
35,2014-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-93.0,-1625.0,-310.0
36,2014-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-1954.0,-8778.0,-2264.0
37,2017-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-21.0,-8486.0,-2285.0
38,2017-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7.0,-8607.0,-2292.0
39,2017-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7.0,-8807.0,-2299.0
40,2017-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-14.0,-8904.0,-2313.0
41,2017-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],40.0,-8829.0,-2273.0
42,2018-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],29.0,-8038.0,-2244.0
43,2018-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],358.0,-6812.0,-1886.0
44,2018-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],69.0,-6561.0,-1817.0
45,2018-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],40.0,-6620.0,-1777.0
46,2020-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],15.0,-6036.0,-1762.0
47,2020-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],29.0,-5939.0,-1733.0
48,2020-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-903.0,-9241.0,-2636.0
49,2020-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-693.0,-11769.0,-3329.0
50,2020-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-731.0,-14431.0,-4060.0
51,2021-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],748.0,-5254.0,-3312.0
52,2021-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],992.0,-1288.0,-2320.0
53,2021-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],970.0,2310.0,-1350.0
54,2021-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-1288.0,7154.0,-2638.0
55,2021-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1915.0,14861.0,-723.0
56,2021-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2442.0,24559.0,1719.0
57,2023-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6238.0,71244.0,7957.0
58,2023-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5734.0,78073.0,13691.0
59,2023-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5810.0,93848.0,19501.0
60,2023-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4166.0,109116.0,23667.0
61,2025-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5323.0,173411.0,28990.0
62,2025-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7498.0,201136.0,36488.0
63,2025-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6530.0,225262.0,43018.0
64,2025-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7186.0,255189.0,50204.0
65,2030-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10015.0,542475.0,60219.0
66,2030-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],17344.0,606206.0,77563.0
67,2030-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],18255.0,680398.0,95818.0
68,2030-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],16492.0,753214.0,112310.0
69,2032-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4055.0,995430.0,116365.0
70,2032-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2742.0,1057137.0,113623.0
71,2032-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-8606.0,1099188.0,105017.0
72,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2446.0,1167916.0,102571.0
73,2032-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-576.0,1236800.0,101995.0
74,2032-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],16608.0,1262367.0,118603.0
75,2032-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10902.0,1283154.0,129505.0
76,2033-01-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4300.0,1301770.0,133805.0
77,2033-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],17384.0,1428063.0,151189.0
78,2033-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-16567.0,1478856.0,134622.0
79,2033-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7449.0,1482654.0,127173.0
80,2033-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-5674.0,1486593.0,121499.0
81,2033-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2771.0,1530782.0,118728.0
82,2034-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2384.0,1645059.0,121112.0
83,2035-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3855.0,1860730.0,124967.0
84,2035-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],11139.0,1871517.0,136106.0
85,2035-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],23476.0,1895690.0,159582.0
86,2035-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],21233.0,1920396.0,180815.0
87,2035-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6883.0,1931266.0,187698.0
88,2036-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13506.0,2114259.0,201204.0
89,2036-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],11929.0,2158468.0,213133.0
90,2036-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4845.0,2178642.0,217978.0
91,2037-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10214.0,2386882.0,228192.0
92,2037-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13829.0,2411051.0,242021.0
93,2037-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6649.0,2426222.0,248670.0
94,2037-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],8.0,2437932.0,248678.0
95,2038-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],40596.0,2599706.0,289274.0
96,2038-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],39155.0,2764686.0,328429.0
97,2038-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],28345.0,2870336.0,356774.0
98,2038-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4620.0,2950804.0,361394.0
99,2038-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4156.0,3057532.0,365550.0
100,2038-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3565.0,3174383.0,369115.0
101,2038-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],30448.0,3301205.0,399563.0
102,2039-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5224.0,3509011.0,404787.0
103,2039-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],8585.0,3538889.0,413372.0
104,2039-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13068.0,3590698.0,426440.0
