,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-12-01,Unmet_Dem_OUT_CA_LADWP[AF],310.0,1430536.0,310.0
1,2049-05-01,Unmet_Dem_OUT_CA_LADWP[AF],195.0,1516146.0,505.0
2,2050-05-01,Unmet_Dem_OUT_CA_LADWP[AF],790.0,1673971.0,1295.0
3,2054-05-01,Unmet_Dem_OUT_CA_LADWP[AF],667.0,2176487.0,1962.0
4,2055-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2126.0,2329500.0,4088.0
5,2055-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2674.0,2385687.0,6762.0
6,2056-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1482.0,2603500.0,8244.0
7,2056-06-01,Unmet_Dem_OUT_CA_LADWP[AF],514.0,2652526.0,8758.0
8,2059-05-01,Unmet_Dem_OUT_CA_LADWP[AF],344.0,3067924.0,9102.0
9,2060-12-01,Unmet_Dem_OUT_CA_LADWP[AF],491.0,3312912.0,9593.0
10,2061-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2629.0,3350653.0,12222.0
11,2061-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1687.0,3395877.0,13909.0
12,2062-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2849.0,3629967.0,16758.0
13,2062-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2039.0,3675194.0,18797.0
14,2064-05-01,Unmet_Dem_OUT_CA_LADWP[AF],319.0,3940224.0,19116.0
15,2066-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1906.0,4220462.0,21022.0
16,2069-04-01,Unmet_Dem_OUT_CA_LADWP[AF],244.0,4635120.0,21266.0
17,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],5376.0,4675417.0,26642.0
18,2069-06-01,Unmet_Dem_OUT_CA_LADWP[AF],5854.0,4734330.0,32496.0
19,2069-09-01,Unmet_Dem_OUT_CA_LADWP[AF],945.0,4823558.0,33441.0
20,2069-10-01,Unmet_Dem_OUT_CA_LADWP[AF],4169.0,4861218.0,37610.0
21,2069-11-01,Unmet_Dem_OUT_CA_LADWP[AF],484.0,4880025.0,38094.0
22,2070-03-01,Unmet_Dem_OUT_CA_LADWP[AF],1683.0,4951989.0,39777.0
23,2070-04-01,Unmet_Dem_OUT_CA_LADWP[AF],5039.0,4974982.0,44816.0
24,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],7151.0,5010315.0,51967.0
25,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],9488.0,5062078.0,61455.0
26,2070-07-01,Unmet_Dem_OUT_CA_LADWP[AF],-570.0,5106572.0,60885.0
27,2070-09-01,Unmet_Dem_OUT_CA_LADWP[AF],497.0,5217156.0,61382.0
28,2070-10-01,Unmet_Dem_OUT_CA_LADWP[AF],290.0,5268086.0,61672.0
29,2011-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2.0,-10.0,-2.0
30,2011-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2.0,-16.0,-4.0
31,2014-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-15.0,-294.0,-19.0
32,2014-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-16.0,-381.0,-35.0
33,2014-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-14.0,-7958.0,-49.0
34,2017-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-3.0,-8358.0,-52.0
35,2017-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2.0,-8380.0,-54.0
36,2017-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2.0,-8393.0,-56.0
37,2017-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2.0,-8408.0,-58.0
38,2017-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4.0,-8397.0,-54.0
39,2018-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4.0,-6458.0,-50.0
40,2018-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],42.0,-6266.0,-8.0
41,2018-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],12.0,-6188.0,4.0
42,2020-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3.0,-8767.0,7.0
43,2020-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],6.0,-16598.0,13.0
44,2020-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-151.0,-22442.0,-138.0
45,2021-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],120.0,-21238.0,-18.0
46,2021-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],236.0,-19825.0,218.0
47,2021-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-182.0,-7783.0,36.0
48,2021-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4876.0,1974.0,4912.0
49,2023-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],964.0,21198.0,5876.0
