,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4783.0,22886.0,4783.0
1,2021-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5099.0,35620.0,9882.0
2,2021-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5875.0,57389.0,15757.0
3,2021-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6822.0,116882.0,22579.0
4,2021-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7579.0,192763.0,30158.0
5,2021-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8090.0,346513.0,38248.0
6,2021-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8369.0,532267.0,46617.0
7,2021-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7381.0,727509.0,53998.0
8,2021-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7832.0,869506.0,61830.0
9,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7870.0,952262.0,69700.0
10,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8014.0,992875.0,77714.0
11,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8119.0,1076343.0,85833.0
12,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],12898.0,1115280.0,98731.0
13,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],13333.0,1160848.0,112064.0
14,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14041.0,1212628.0,126105.0
15,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14626.0,1283590.0,140731.0
16,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15849.0,1355298.0,156580.0
17,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16474.0,1613221.0,173054.0
18,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16706.0,1968351.0,189760.0
19,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15679.0,2369548.0,205439.0
20,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15757.0,2632947.0,221196.0
21,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16266.0,2872520.0,237462.0
22,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15058.0,3057724.0,252520.0
23,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14269.0,3202428.0,266789.0
24,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],19284.0,3298319.0,286073.0
25,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],19096.0,3365423.0,305169.0
26,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],20921.0,3444529.0,326090.0
27,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],22659.0,3714969.0,348749.0
28,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24173.0,4004703.0,372922.0
29,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],25127.0,4477923.0,398049.0
30,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],25086.0,5040162.0,423135.0
31,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24826.0,5653344.0,447961.0
32,2023-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],25263.0,5910352.0,473224.0
33,2023-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24938.0,6075988.0,498162.0
34,2023-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24863.0,6205104.0,523025.0
35,2023-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24843.0,6302389.0,547868.0
36,2024-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],29929.0,6401749.0,577797.0
37,2024-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],29775.0,6485398.0,607572.0
38,2024-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],31394.0,6591690.0,638966.0
39,2024-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],32847.0,6896593.0,671813.0
40,2024-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],33836.0,7385502.0,705649.0
