,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2021-04-01,GW_storage_AZ_APS_E_GW[AF],-3.0,-50886.0,-3.0
1,2021-05-01,GW_storage_AZ_APS_E_GW[AF],-3.0,-53697.0,-6.0
2,2021-06-01,GW_storage_AZ_APS_E_GW[AF],-2.0,-42353.0,-8.0
3,2021-07-01,GW_storage_AZ_APS_E_GW[AF],-2.0,-14060.0,-10.0
4,2021-08-01,GW_storage_AZ_APS_E_GW[AF],-2.0,35723.0,-12.0
5,2021-09-01,GW_storage_AZ_APS_E_GW[AF],-2.0,104079.0,-14.0
6,2021-10-01,GW_storage_AZ_APS_E_GW[AF],-2.0,179591.0,-16.0
7,2021-11-01,GW_storage_AZ_APS_E_GW[AF],-2.0,269233.0,-18.0
8,2021-12-01,GW_storage_AZ_APS_E_GW[AF],-2.0,371251.0,-20.0
9,2022-01-01,GW_storage_AZ_APS_E_GW[AF],-2.0,465751.0,-22.0
10,2022-02-01,GW_storage_AZ_APS_E_GW[AF],-2.0,540090.0,-24.0
11,2022-03-01,GW_storage_AZ_APS_E_GW[AF],-2.0,607979.0,-26.0
12,2022-04-01,GW_storage_AZ_APS_E_GW[AF],-3.0,677753.0,-29.0
13,2022-05-01,GW_storage_AZ_APS_E_GW[AF],-3.0,752616.0,-32.0
14,2022-06-01,GW_storage_AZ_APS_E_GW[AF],-3.0,850575.0,-35.0
15,2022-07-01,GW_storage_AZ_APS_E_GW[AF],-3.0,982818.0,-38.0
16,2022-08-01,GW_storage_AZ_APS_E_GW[AF],-3.0,1168840.0,-41.0
17,2022-09-01,GW_storage_AZ_APS_E_GW[AF],-4.0,1395844.0,-45.0
18,2022-10-01,GW_storage_AZ_APS_E_GW[AF],-3.0,1657966.0,-48.0
19,2022-11-01,GW_storage_AZ_APS_E_GW[AF],-4.0,1940818.0,-52.0
20,2022-12-01,GW_storage_AZ_APS_E_GW[AF],-4.0,2229464.0,-56.0
21,2023-01-01,GW_storage_AZ_APS_E_GW[AF],-5.0,2510313.0,-61.0
22,2023-02-01,GW_storage_AZ_APS_E_GW[AF],-6.0,2797293.0,-67.0
23,2023-03-01,GW_storage_AZ_APS_E_GW[AF],-6.0,3069268.0,-73.0
24,2023-04-01,GW_storage_AZ_APS_E_GW[AF],-7.0,3377656.0,-80.0
25,2023-05-01,GW_storage_AZ_APS_E_GW[AF],-8.0,3754647.0,-88.0
26,2023-06-01,GW_storage_AZ_APS_E_GW[AF],-7.0,4180075.0,-95.0
27,2023-07-01,GW_storage_AZ_APS_E_GW[AF],-8.0,4653745.0,-103.0
28,2023-08-01,GW_storage_AZ_APS_E_GW[AF],-8.0,5198015.0,-111.0
29,2023-09-01,GW_storage_AZ_APS_E_GW[AF],-7.0,5786119.0,-118.0
30,2023-10-01,GW_storage_AZ_APS_E_GW[AF],-7.0,6373900.0,-125.0
31,2023-11-01,GW_storage_AZ_APS_E_GW[AF],-7.0,6947674.0,-132.0
32,2023-12-01,GW_storage_AZ_APS_E_GW[AF],-7.0,7493954.0,-139.0
33,2024-01-01,GW_storage_AZ_APS_E_GW[AF],-7.0,8028045.0,-146.0
34,2024-02-01,GW_storage_AZ_APS_E_GW[AF],-8.0,8520726.0,-154.0
35,2024-03-01,GW_storage_AZ_APS_E_GW[AF],-9.0,9004455.0,-163.0
36,2024-04-01,GW_storage_AZ_APS_E_GW[AF],-9.0,9527953.0,-172.0
37,2024-05-01,GW_storage_AZ_APS_E_GW[AF],-9.0,10113250.0,-181.0
38,2024-06-01,GW_storage_AZ_APS_E_GW[AF],-8.0,10762512.0,-189.0
39,2024-07-01,GW_storage_AZ_APS_E_GW[AF],-7.0,11484261.0,-196.0
40,2024-08-01,GW_storage_AZ_APS_E_GW[AF],-6.0,12285362.0,-202.0
41,2024-09-01,GW_storage_AZ_APS_E_GW[AF],-6.0,13170575.0,-208.0
42,2024-10-01,GW_storage_AZ_APS_E_GW[AF],-6.0,14091681.0,-214.0
43,2024-11-01,GW_storage_AZ_APS_E_GW[AF],-7.0,15030713.0,-221.0
44,2024-12-01,GW_storage_AZ_APS_E_GW[AF],-6.0,15972575.0,-227.0
45,2025-01-01,GW_storage_AZ_APS_E_GW[AF],-7.0,16872726.0,-234.0
46,2025-02-01,GW_storage_AZ_APS_E_GW[AF],-9.0,17726694.0,-243.0
47,2025-03-01,GW_storage_AZ_APS_E_GW[AF],-11.0,18536611.0,-254.0
48,2025-04-01,GW_storage_AZ_APS_E_GW[AF],-15.0,19395974.0,-269.0
49,2025-05-01,GW_storage_AZ_APS_E_GW[AF],-18.0,20284292.0,-287.0
50,2025-06-01,GW_storage_AZ_APS_E_GW[AF],-19.0,21264807.0,-306.0
51,2025-07-01,GW_storage_AZ_APS_E_GW[AF],-54.0,22299973.0,-360.0
52,2025-08-01,GW_storage_AZ_APS_E_GW[AF],-582.0,23454373.0,-942.0
53,2025-09-01,GW_storage_AZ_APS_E_GW[AF],-568.0,25810967.0,-1510.0
54,2025-10-01,GW_storage_AZ_APS_E_GW[AF],-557.0,28501209.0,-2067.0
55,2025-11-01,GW_storage_AZ_APS_E_GW[AF],-548.0,31529269.0,-2615.0
56,2025-12-01,GW_storage_AZ_APS_E_GW[AF],-538.0,34713551.0,-3153.0
57,2026-01-01,GW_storage_AZ_APS_E_GW[AF],-528.0,37880404.0,-3681.0
58,2026-02-01,GW_storage_AZ_APS_E_GW[AF],-521.0,41075097.0,-4202.0
59,2026-03-01,GW_storage_AZ_APS_E_GW[AF],-511.0,44220745.0,-4713.0
60,2026-04-01,GW_storage_AZ_APS_E_GW[AF],-503.0,47386394.0,-5216.0
61,2026-05-01,GW_storage_AZ_APS_E_GW[AF],-494.0,50525733.0,-5710.0
62,2026-06-01,GW_storage_AZ_APS_E_GW[AF],-484.0,53742179.0,-6194.0
63,2026-07-01,GW_storage_AZ_APS_E_GW[AF],-475.0,57161949.0,-6669.0
64,2026-08-01,GW_storage_AZ_APS_E_GW[AF],-465.0,60670900.0,-7134.0
65,2026-09-01,GW_storage_AZ_APS_E_GW[AF],-456.0,64200430.0,-7590.0
66,2026-10-01,GW_storage_AZ_APS_E_GW[AF],-447.0,67687024.0,-8037.0
67,2026-11-01,GW_storage_AZ_APS_E_GW[AF],-439.0,71122862.0,-8476.0
68,2026-12-01,GW_storage_AZ_APS_E_GW[AF],-432.0,74457891.0,-8908.0
69,2027-01-01,GW_storage_AZ_APS_E_GW[AF],-424.0,77677257.0,-9332.0
70,2027-02-01,GW_storage_AZ_APS_E_GW[AF],-418.0,80739084.0,-9750.0
71,2027-03-01,GW_storage_AZ_APS_E_GW[AF],-414.0,83632762.0,-10164.0
72,2027-04-01,GW_storage_AZ_APS_E_GW[AF],-411.0,86357263.0,-10575.0
73,2027-05-01,GW_storage_AZ_APS_E_GW[AF],-405.0,88923607.0,-10980.0
74,2027-06-01,GW_storage_AZ_APS_E_GW[AF],-399.0,91527865.0,-11379.0
75,2027-07-01,GW_storage_AZ_APS_E_GW[AF],-393.0,94059391.0,-11772.0
76,2027-08-01,GW_storage_AZ_APS_E_GW[AF],-386.0,96766340.0,-12158.0
77,2027-09-01,GW_storage_AZ_APS_E_GW[AF],-379.0,99460034.0,-12537.0
78,2027-10-01,GW_storage_AZ_APS_E_GW[AF],-372.0,102220493.0,-12909.0
79,2027-11-01,GW_storage_AZ_APS_E_GW[AF],-364.0,104907147.0,-13273.0
80,2027-12-01,GW_storage_AZ_APS_E_GW[AF],-358.0,107621258.0,-13631.0
81,2028-01-01,GW_storage_AZ_APS_E_GW[AF],-352.0,110153970.0,-13983.0
82,2028-02-01,GW_storage_AZ_APS_E_GW[AF],-346.0,112521906.0,-14329.0
83,2028-03-01,GW_storage_AZ_APS_E_GW[AF],-341.0,114733890.0,-14670.0
84,2028-04-01,GW_storage_AZ_APS_E_GW[AF],-334.0,116979778.0,-15004.0
85,2028-05-01,GW_storage_AZ_APS_E_GW[AF],-327.0,119171121.0,-15331.0
86,2028-06-01,GW_storage_AZ_APS_E_GW[AF],-320.0,121356252.0,-15651.0
87,2028-07-01,GW_storage_AZ_APS_E_GW[AF],-312.0,123669321.0,-15963.0
88,2028-08-01,GW_storage_AZ_APS_E_GW[AF],-305.0,126137930.0,-16268.0
89,2028-09-01,GW_storage_AZ_APS_E_GW[AF],-298.0,128761133.0,-16566.0
90,2028-10-01,GW_storage_AZ_APS_E_GW[AF],-291.0,131396199.0,-16857.0
91,2028-11-01,GW_storage_AZ_APS_E_GW[AF],-285.0,134067130.0,-17142.0
