,Date,Location,Reduction_in_hydropower_generation,Running_total,Location_running_total
0,2037-06-01,Hydro_Albeni Falls[GwH],-1.0,-12057.0,-1.0
1,2037-07-01,Hydro_Albeni Falls[GwH],-1.0,-12505.0,-2.0
2,2042-06-01,Hydro_Albeni Falls[GwH],-2.0,-23357.0,-4.0
3,2042-07-01,Hydro_Albeni Falls[GwH],-2.0,-24029.0,-6.0
4,2042-08-01,Hydro_Albeni Falls[GwH],-2.0,-25027.0,-8.0
5,2042-09-01,Hydro_Albeni Falls[GwH],-2.0,-25808.0,-10.0
6,2042-10-01,Hydro_Albeni Falls[GwH],-2.0,-26000.0,-12.0
7,2042-11-01,Hydro_Albeni Falls[GwH],-2.0,-26092.0,-14.0
8,2042-12-01,Hydro_Albeni Falls[GwH],-3.0,-25959.0,-17.0
9,2043-01-01,Hydro_Albeni Falls[GwH],-3.0,-25803.0,-20.0
10,2043-02-01,Hydro_Albeni Falls[GwH],-3.0,-25862.0,-23.0
11,2043-03-01,Hydro_Albeni Falls[GwH],-5.0,-26054.0,-28.0
12,2043-04-01,Hydro_Albeni Falls[GwH],-6.0,-26378.0,-34.0
13,2043-05-01,Hydro_Albeni Falls[GwH],-5.0,-26755.0,-39.0
14,2043-06-01,Hydro_Albeni Falls[GwH],-4.0,-27001.0,-43.0
15,2043-07-01,Hydro_Albeni Falls[GwH],-2.0,-27605.0,-45.0
16,2043-11-01,Hydro_Albeni Falls[GwH],1.0,-28500.0,-44.0
17,2043-12-01,Hydro_Albeni Falls[GwH],2.0,-28784.0,-42.0
18,2044-01-01,Hydro_Albeni Falls[GwH],2.0,-28968.0,-40.0
19,2044-02-01,Hydro_Albeni Falls[GwH],2.0,-29027.0,-38.0
20,2044-03-01,Hydro_Albeni Falls[GwH],3.0,-28905.0,-35.0
21,2044-04-01,Hydro_Albeni Falls[GwH],3.0,-29743.0,-32.0
22,2044-05-01,Hydro_Albeni Falls[GwH],4.0,-30573.0,-28.0
23,2044-06-01,Hydro_Albeni Falls[GwH],4.0,-30862.0,-24.0
24,2044-07-01,Hydro_Albeni Falls[GwH],2.0,-30917.0,-22.0
25,2044-08-01,Hydro_Albeni Falls[GwH],1.0,-30984.0,-21.0
26,2046-03-01,Hydro_Albeni Falls[GwH],1.0,-35586.0,-20.0
27,2046-04-01,Hydro_Albeni Falls[GwH],1.0,-35256.0,-19.0
28,2046-05-01,Hydro_Albeni Falls[GwH],1.0,-35331.0,-18.0
29,2046-06-01,Hydro_Albeni Falls[GwH],1.0,-35007.0,-17.0
30,2047-04-01,Hydro_Albeni Falls[GwH],-1.0,-36199.0,-18.0
31,2047-05-01,Hydro_Albeni Falls[GwH],-1.0,-36768.0,-19.0
