,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2034-12-01,Unmet_Dem_IN_CA_IID[AF],-8915.0,-12267.0,-8915.0
1,2049-12-01,Unmet_Dem_IN_CA_IID[AF],-10350.0,186127.0,-19265.0
2,2053-11-01,Unmet_Dem_IN_CA_IID[AF],11039.0,430866.0,-8226.0
3,2054-11-01,Unmet_Dem_IN_CA_IID[AF],-11150.0,410019.0,-19376.0
4,2054-12-01,Unmet_Dem_IN_CA_IID[AF],-10878.0,395898.0,-30254.0
5,2059-12-01,Unmet_Dem_IN_CA_IID[AF],-11432.0,632160.0,-41686.0
6,2060-11-01,Unmet_Dem_IN_CA_IID[AF],-11835.0,734700.0,-53521.0
7,2060-12-01,Unmet_Dem_IN_CA_IID[AF],-11547.0,722993.0,-65068.0
8,2066-11-01,Unmet_Dem_IN_CA_IID[AF],-12564.0,942901.0,-77632.0
9,2069-12-01,Unmet_Dem_IN_CA_IID[AF],-12629.0,1158358.0,-90261.0
10,2029-05-01,Unmet_Dem_IN_CA_LADWP[AF],61.0,82931.0,61.0
11,2034-05-01,Unmet_Dem_IN_CA_LADWP[AF],21.0,83724.0,82.0
12,2036-05-01,Unmet_Dem_IN_CA_LADWP[AF],11.0,-112583.0,93.0
13,2037-05-01,Unmet_Dem_IN_CA_LADWP[AF],38.0,-64007.0,131.0
14,2044-05-01,Unmet_Dem_IN_CA_LADWP[AF],47.0,123578.0,178.0
15,2061-12-01,Unmet_Dem_IN_CA_LADWP[AF],-13.0,730861.0,165.0
16,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],250.0,914621.0,415.0
17,2066-06-01,Unmet_Dem_IN_CA_LADWP[AF],1862.0,922261.0,2277.0
18,2067-04-01,Unmet_Dem_IN_CA_LADWP[AF],623.0,1038263.0,2900.0
19,2067-05-01,Unmet_Dem_IN_CA_LADWP[AF],430.0,1043795.0,3330.0
20,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],129.0,986762.0,3459.0
21,2067-10-01,Unmet_Dem_IN_CA_LADWP[AF],1252.0,1020878.0,4711.0
22,2067-11-01,Unmet_Dem_IN_CA_LADWP[AF],1011.0,1020539.0,5722.0
23,2068-12-01,Unmet_Dem_IN_CA_LADWP[AF],8565.0,1170120.0,14287.0
24,2069-12-01,Unmet_Dem_IN_CA_LADWP[AF],-8995.0,1158358.0,5292.0
25,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],69.0,1231553.0,5361.0
26,2070-06-01,Unmet_Dem_IN_CA_LADWP[AF],1281.0,1237224.0,6642.0
27,2021-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7.0,1221.0,7.0
28,2023-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],196.0,3118.0,203.0
29,2023-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],76.0,3063.0,279.0
30,2024-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2776.0,3477.0,3055.0
31,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],149.0,3216.0,3204.0
32,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-1078.0,2268.0,2126.0
33,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-1230.0,1100.0,896.0
34,2025-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10654.0,36629.0,11550.0
35,2025-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4208.0,68706.0,15758.0
36,2025-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2015.0,75584.0,17773.0
37,2025-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1199.0,79407.0,18972.0
38,2029-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],224.0,83319.0,19196.0
39,2029-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-47.0,83533.0,19149.0
40,2029-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-1645.0,85178.0,17504.0
