,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2025-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-15.0,-2856.0,-15.0
1,2025-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],44.0,12119.0,29.0
2,2025-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,18298.0,44.0
3,2025-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,20487.0,49.0
4,2025-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,21105.0,51.0
5,2034-12-01,Unmet_Dem_OUT_CA_IID[AF],-142.0,-3297.0,-142.0
6,2049-12-01,Unmet_Dem_OUT_CA_IID[AF],-149.0,2536.0,-291.0
7,2053-11-01,Unmet_Dem_OUT_CA_IID[AF],184.0,47182.0,-107.0
8,2053-12-01,Unmet_Dem_OUT_CA_IID[AF],135.0,47400.0,28.0
9,2054-11-01,Unmet_Dem_OUT_CA_IID[AF],-184.0,39849.0,-156.0
10,2054-12-01,Unmet_Dem_OUT_CA_IID[AF],-291.0,39357.0,-447.0
11,2059-12-01,Unmet_Dem_OUT_CA_IID[AF],-106.0,71601.0,-553.0
12,2060-11-01,Unmet_Dem_OUT_CA_IID[AF],-184.0,78143.0,-737.0
13,2060-12-01,Unmet_Dem_OUT_CA_IID[AF],-256.0,77887.0,-993.0
14,2066-11-01,Unmet_Dem_OUT_CA_IID[AF],-182.0,116724.0,-1175.0
15,2066-12-01,Unmet_Dem_OUT_CA_IID[AF],-134.0,116744.0,-1309.0
16,2069-12-01,Unmet_Dem_OUT_CA_IID[AF],-152.0,135962.0,-1461.0
17,2029-05-01,Unmet_Dem_OUT_CA_LADWP[AF],15.0,22477.0,15.0
18,2034-05-01,Unmet_Dem_OUT_CA_LADWP[AF],5.0,20769.0,20.0
19,2036-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1.0,-41450.0,21.0
20,2037-05-01,Unmet_Dem_OUT_CA_LADWP[AF],5.0,-37069.0,26.0
21,2044-05-01,Unmet_Dem_OUT_CA_LADWP[AF],11.0,-34533.0,37.0
22,2066-05-01,Unmet_Dem_OUT_CA_LADWP[AF],41.0,103175.0,78.0
23,2066-06-01,Unmet_Dem_OUT_CA_LADWP[AF],374.0,105948.0,452.0
24,2067-04-01,Unmet_Dem_OUT_CA_LADWP[AF],40.0,117125.0,492.0
25,2067-05-01,Unmet_Dem_OUT_CA_LADWP[AF],78.0,118148.0,570.0
26,2067-06-01,Unmet_Dem_OUT_CA_LADWP[AF],44.0,110240.0,614.0
27,2067-10-01,Unmet_Dem_OUT_CA_LADWP[AF],161.0,114467.0,775.0
28,2068-12-01,Unmet_Dem_OUT_CA_LADWP[AF],374.0,119858.0,1149.0
29,2069-12-01,Unmet_Dem_OUT_CA_LADWP[AF],-320.0,135962.0,829.0
30,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],10.0,145793.0,839.0
31,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],259.0,148453.0,1098.0
32,2023-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],31.0,2201.0,31.0
33,2023-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2316.0,-30.0,-2285.0
34,2024-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],457.0,-1401.0,-1828.0
35,2024-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],78.0,-1323.0,-1750.0
36,2024-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-119.0,-1434.0,-1869.0
37,2025-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2774.0,12119.0,905.0
38,2025-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1019.0,18298.0,1924.0
39,2029-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],34.0,22794.0,1958.0
40,2029-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],13.0,23031.0,1971.0
41,2029-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-3.0,23188.0,1968.0
42,2029-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-317.0,23517.0,1651.0
43,2029-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-425.0,23807.0,1226.0
44,2030-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-19.0,23772.0,1207.0
45,2030-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],17.0,20244.0,1224.0
46,2030-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-171.0,19762.0,1053.0
47,2030-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-341.0,19920.0,712.0
48,2034-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],34.0,20998.0,746.0
49,2034-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],45.0,21133.0,791.0
50,2034-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],400.0,12858.0,1191.0
51,2034-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-212.0,4943.0,979.0
52,2034-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-543.0,-135.0,436.0
53,2034-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-760.0,-2659.0,-324.0
54,2034-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-487.0,-3297.0,-811.0
55,2035-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-67.0,-3364.0,-878.0
56,2035-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-7479.0,-10634.0,-8357.0
57,2035-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-6011.0,-27307.0,-14368.0
58,2035-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-4007.0,-32527.0,-18375.0
59,2035-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2991.0,-35350.0,-21366.0
60,2035-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2289.0,-36678.0,-23655.0
61,2035-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1531.0,-37104.0,-25186.0
