,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-448.0,4537.0,-448.0
1,2011-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5251.0,-16489.0,4803.0
2,2011-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],18986.0,-319661.0,23789.0
3,2011-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],22377.0,-269397.0,46166.0
4,2011-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23578.0,-728915.0,69744.0
5,2011-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15215.0,-2031515.0,84959.0
6,2011-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-15122.0,-3608090.0,69837.0
7,2011-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],47467.0,-4953138.0,117304.0
8,2011-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23211.0,-5848826.0,140515.0
9,2011-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],9613.0,-7486760.0,150128.0
10,2011-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-13719.0,-9238857.0,136409.0
11,2011-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-56745.0,-10568523.0,79664.0
12,2012-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-34391.0,-10030279.0,45273.0
13,2012-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-41291.0,-9342391.0,3982.0
14,2012-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-12363.0,-8816353.0,-8381.0
15,2012-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-23820.0,-8401835.0,-32201.0
16,2012-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-22221.0,-7825419.0,-54422.0
17,2012-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-14980.0,-6738835.0,-69402.0
18,2012-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-46507.0,-5648885.0,-115909.0
19,2012-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-55228.0,-3143261.0,-171137.0
20,2012-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-64422.0,-1955726.0,-235559.0
21,2012-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],56788.0,-809387.0,-178771.0
22,2012-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],53024.0,-527033.0,-125747.0
23,2012-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],27697.0,-931038.0,-98050.0
