,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2011-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,124.0,-1.0
1,2011-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,-120.0,-2.0
2,2011-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,557.0,-3.0
3,2011-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,1241.0,-1.0
4,2012-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,1088.0,1.0
5,2012-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,965.0,3.0
6,2012-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,304.0,4.0
7,2012-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-114.0,6.0
8,2012-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-324.0,8.0
9,2012-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,-540.0,6.0
10,2012-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,-666.0,4.0
11,2012-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,-470.0,3.0
12,2013-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-397.0,4.0
13,2013-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-525.0,6.0
14,2013-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-1299.0,7.0
15,2013-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-817.0,9.0
16,2013-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-210.0,10.0
17,2013-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-359.0,13.0
18,2013-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-494.0,15.0
19,2014-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-601.0,17.0
20,2014-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-636.0,19.0
21,2014-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-459.0,22.0
22,2014-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-91.0,24.0
23,2014-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,40.0,25.0
24,2014-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-3.0,1735.0,22.0
25,2014-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-5.0,1740.0,17.0
26,2015-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-4.0,1623.0,13.0
27,2015-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-6.0,1398.0,7.0
28,2015-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-4.0,1416.0,3.0
29,2015-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-3.0,1489.0,0.0
30,2015-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,3040.0,2.0
31,2015-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,3163.0,4.0
32,2015-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,3281.0,6.0
33,2015-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,3253.0,8.0
34,2015-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,3241.0,11.0
35,2016-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-5.0,2828.0,6.0
36,2016-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-7.0,2634.0,-1.0
37,2016-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-3.0,1996.0,-4.0
38,2016-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,1308.0,-5.0
39,2016-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,-1878.0,0.0
40,2016-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-2200.0,3.0
41,2017-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,-2484.0,1.0
42,2017-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-2481.0,4.0
43,2017-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-2610.0,5.0
44,2017-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-2708.0,7.0
45,2017-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-2993.0,8.0
46,2018-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-3262.0,10.0
47,2018-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-3265.0,12.0
48,2018-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-3322.0,13.0
49,2018-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-3431.0,14.0
50,2018-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-2979.0,16.0
51,2019-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,-2944.0,15.0
52,2019-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-2907.0,16.0
53,2019-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-2538.0,18.0
54,2019-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-2066.0,20.0
55,2019-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-1235.0,21.0
56,2019-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-175.0,22.0
57,2019-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,2443.0,23.0
58,2019-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,2707.0,24.0
59,2020-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,2760.0,29.0
60,2020-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,3065.0,32.0
61,2020-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,3892.0,35.0
62,2020-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,4603.0,37.0
63,2020-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,5171.0,38.0
64,2020-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,6030.0,39.0
65,2020-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,8328.0,43.0
66,2020-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,8912.0,47.0
67,2020-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,9289.0,51.0
68,2020-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,9302.0,55.0
69,2021-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,9480.0,60.0
70,2021-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,9412.0,62.0
71,2021-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,9432.0,63.0
72,2021-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,8930.0,64.0
73,2021-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,8636.0,65.0
74,2021-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,9247.0,67.0
75,2022-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,9427.0,75.0
76,2022-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],9.0,9579.0,84.0
77,2022-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,9589.0,92.0
78,2022-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,9755.0,96.0
79,2022-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,9869.0,98.0
80,2022-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,13062.0,97.0
81,2022-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,13514.0,99.0
82,2022-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,14176.0,102.0
83,2022-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,14587.0,107.0
84,2023-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,15022.0,115.0
85,2023-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,15416.0,122.0
86,2023-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,15832.0,129.0
87,2023-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,16571.0,134.0
88,2023-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,17560.0,138.0
89,2023-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,18345.0,140.0
90,2023-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,19191.0,142.0
91,2023-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,19820.0,144.0
92,2023-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,20069.0,146.0
93,2024-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,20548.0,150.0
94,2024-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],9.0,20733.0,159.0
95,2024-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],10.0,20754.0,169.0
96,2024-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,21681.0,176.0
97,2024-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,23396.0,180.0
98,2024-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,25470.0,182.0
99,2024-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,27490.0,183.0
100,2024-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,29159.0,184.0
101,2024-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,31980.0,183.0
102,2024-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,32679.0,182.0
103,2024-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,33015.0,180.0
104,2025-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-9.0,33098.0,171.0
105,2025-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-9.0,33193.0,162.0
106,2025-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-7.0,33615.0,155.0
107,2025-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-5.0,33919.0,150.0
108,2025-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,34074.0,148.0
109,2025-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,38496.0,150.0
110,2025-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,38819.0,152.0
111,2026-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,39175.0,156.0
112,2026-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,39183.0,158.0
113,2026-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,39734.0,159.0
114,2026-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,40244.0,160.0
115,2026-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,40997.0,161.0
116,2026-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,41457.0,163.0
117,2026-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,42704.0,164.0
118,2026-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,42711.0,163.0
119,2026-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,42734.0,167.0
120,2027-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,42730.0,171.0
121,2027-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,42963.0,173.0
122,2027-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,42881.0,172.0
123,2027-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,43461.0,175.0
124,2027-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,43518.0,179.0
125,2027-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,43836.0,183.0
126,2027-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,43827.0,186.0
127,2027-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,43754.0,190.0
128,2028-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,43714.0,193.0
129,2028-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,43615.0,196.0
130,2028-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,43578.0,198.0
131,2028-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,43487.0,200.0
132,2028-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,44940.0,202.0
133,2028-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,45724.0,204.0
134,2028-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,46232.0,206.0
135,2028-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,46636.0,208.0
136,2028-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,46670.0,210.0
137,2028-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],11.0,46767.0,221.0
138,2029-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],11.0,46929.0,232.0
139,2029-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],11.0,47084.0,243.0
140,2029-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],9.0,47288.0,252.0
141,2029-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,48126.0,257.0
142,2029-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,48900.0,259.0
143,2029-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,49340.0,260.0
144,2029-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,51168.0,261.0
145,2029-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,51712.0,263.0
146,2029-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,52053.0,268.0
147,2029-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,52338.0,273.0
148,2030-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,52294.0,274.0
149,2030-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,52376.0,273.0
150,2030-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,58663.0,275.0
151,2030-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,58821.0,277.0
152,2030-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,58794.0,280.0
153,2031-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,58813.0,284.0
154,2031-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,58768.0,287.0
155,2031-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,58844.0,288.0
156,2031-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,56634.0,289.0
157,2031-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,56160.0,290.0
158,2031-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,55702.0,293.0
159,2032-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-3.0,55473.0,290.0
160,2032-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-5.0,55342.0,285.0
161,2032-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-5.0,54719.0,280.0
162,2032-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,48833.0,282.0
163,2032-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,47776.0,283.0
164,2032-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,46937.0,284.0
165,2032-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,46339.0,285.0
166,2033-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,46074.0,289.0
167,2033-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,45780.0,290.0
168,2034-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,41037.0,293.0
169,2034-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,41099.0,295.0
170,2034-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,41517.0,297.0
171,2034-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,41684.0,298.0
172,2034-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,41889.0,299.0
173,2034-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,43110.0,300.0
174,2035-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-6.0,42707.0,294.0
175,2035-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-8.0,42280.0,286.0
176,2035-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,42273.0,284.0
177,2035-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,45098.0,286.0
178,2036-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,45367.0,290.0
179,2036-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,45840.0,297.0
180,2036-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],10.0,46189.0,307.0
181,2036-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,46473.0,314.0
182,2036-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,46369.0,318.0
183,2036-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,46770.0,320.0
184,2036-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,47516.0,321.0
185,2036-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,48189.0,322.0
186,2036-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,48218.0,323.0
187,2036-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],6.0,48695.0,329.0
188,2037-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],11.0,49481.0,340.0
189,2037-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],11.0,50127.0,351.0
190,2037-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,50798.0,359.0
191,2037-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,51435.0,363.0
192,2037-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,52462.0,365.0
193,2037-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,53471.0,366.0
194,2038-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,61460.0,364.0
195,2038-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,62112.0,365.0
196,2038-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,62527.0,366.0
197,2038-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,62909.0,368.0
198,2038-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,62302.0,371.0
199,2039-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,62534.0,378.0
200,2039-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,62735.0,386.0
201,2039-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,62774.0,393.0
202,2039-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,63129.0,398.0
203,2039-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,64035.0,401.0
204,2039-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,65168.0,403.0
205,2040-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,70216.0,402.0
206,2040-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,70447.0,400.0
207,2040-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,70656.0,398.0
208,2041-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,79078.0,396.0
209,2041-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,79325.0,395.0
210,2041-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,84546.0,393.0
211,2041-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,85691.0,394.0
212,2041-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,86134.0,395.0
213,2041-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,86237.0,396.0
214,2041-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,86399.0,401.0
215,2042-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,86425.0,402.0
216,2042-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,86414.0,410.0
217,2042-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],6.0,86482.0,416.0
218,2042-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,86867.0,421.0
219,2042-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,87523.0,424.0
220,2042-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,88421.0,426.0
