,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2012-12-01,Coverage_IN_CA_IID[Percent],100.0,-117.0,100.0
1,2019-12-01,Coverage_IN_CA_IID[Percent],100.0,1400.0,200.0
2,2020-12-01,Coverage_IN_CA_IID[Percent],-100.0,2426.0,100.0
3,2021-12-01,Coverage_IN_CA_IID[Percent],-100.0,1857.0,0.0
4,2025-12-01,Coverage_IN_CA_IID[Percent],-100.0,4017.0,-100.0
5,2026-11-01,Coverage_IN_CA_IID[Percent],-100.0,4530.0,-200.0
6,2026-12-01,Coverage_IN_CA_IID[Percent],-100.0,4428.0,-300.0
7,2027-11-01,Coverage_IN_CA_IID[Percent],-100.0,4247.0,-400.0
8,2027-12-01,Coverage_IN_CA_IID[Percent],-100.0,4149.0,-500.0
9,2028-11-01,Coverage_IN_CA_IID[Percent],-100.0,4124.0,-600.0
10,2028-12-01,Coverage_IN_CA_IID[Percent],-100.0,4025.0,-700.0
11,2029-11-01,Coverage_IN_CA_IID[Percent],-100.0,4768.0,-800.0
12,2029-12-01,Coverage_IN_CA_IID[Percent],-100.0,4725.0,-900.0
13,2030-11-01,Coverage_IN_CA_IID[Percent],-100.0,5446.0,-1000.0
14,2030-12-01,Coverage_IN_CA_IID[Percent],-100.0,5366.0,-1100.0
15,2031-11-01,Coverage_IN_CA_IID[Percent],-100.0,4528.0,-1200.0
16,2031-12-01,Coverage_IN_CA_IID[Percent],-100.0,4392.0,-1300.0
17,2032-11-01,Coverage_IN_CA_IID[Percent],-100.0,2288.0,-1400.0
18,2032-12-01,Coverage_IN_CA_IID[Percent],-100.0,2099.0,-1500.0
19,2033-11-01,Coverage_IN_CA_IID[Percent],-100.0,780.0,-1600.0
20,2033-12-01,Coverage_IN_CA_IID[Percent],-100.0,600.0,-1700.0
21,2034-11-01,Coverage_IN_CA_IID[Percent],-100.0,71.0,-1800.0
22,2034-12-01,Coverage_IN_CA_IID[Percent],-100.0,-12.0,-1900.0
23,2035-11-01,Coverage_IN_CA_IID[Percent],-100.0,223.0,-2000.0
24,2035-12-01,Coverage_IN_CA_IID[Percent],-100.0,204.0,-2100.0
25,2036-12-01,Coverage_IN_CA_IID[Percent],-100.0,776.0,-2200.0
26,2037-12-01,Coverage_IN_CA_IID[Percent],-100.0,2256.0,-2300.0
27,2039-11-01,Coverage_IN_CA_IID[Percent],-100.0,3172.0,-2400.0
28,2039-12-01,Coverage_IN_CA_IID[Percent],-100.0,3182.0,-2500.0
29,2040-11-01,Coverage_IN_CA_IID[Percent],-100.0,4170.0,-2600.0
30,2040-12-01,Coverage_IN_CA_IID[Percent],-100.0,4185.0,-2700.0
31,2041-11-01,Coverage_IN_CA_IID[Percent],-100.0,5289.0,-2800.0
32,2041-12-01,Coverage_IN_CA_IID[Percent],-100.0,5189.0,-2900.0
33,2042-11-01,Coverage_IN_CA_IID[Percent],-100.0,5807.0,-3000.0
34,2042-12-01,Coverage_IN_CA_IID[Percent],-100.0,5871.0,-3100.0
35,2043-11-01,Coverage_IN_CA_IID[Percent],-100.0,7529.0,-3200.0
36,2043-12-01,Coverage_IN_CA_IID[Percent],-100.0,7481.0,-3300.0
37,2044-11-01,Coverage_IN_CA_IID[Percent],-100.0,8131.0,-3400.0
38,2044-12-01,Coverage_IN_CA_IID[Percent],-100.0,8020.0,-3500.0
39,2045-11-01,Coverage_IN_CA_IID[Percent],-100.0,7013.0,-3600.0
40,2045-12-01,Coverage_IN_CA_IID[Percent],-100.0,6859.0,-3700.0
41,2046-12-01,Coverage_IN_CA_IID[Percent],-100.0,5030.0,-3800.0
42,2047-12-01,Coverage_IN_CA_IID[Percent],-100.0,3945.0,-3900.0
43,2050-11-01,Coverage_IN_CA_IID[Percent],100.0,2688.0,-3800.0
44,2050-12-01,Coverage_IN_CA_IID[Percent],100.0,2760.0,-3700.0
45,2051-11-01,Coverage_IN_CA_IID[Percent],100.0,2268.0,-3600.0
46,2051-12-01,Coverage_IN_CA_IID[Percent],100.0,2184.0,-3500.0
47,2052-11-01,Coverage_IN_CA_IID[Percent],100.0,1367.0,-3400.0
48,2052-12-01,Coverage_IN_CA_IID[Percent],100.0,1434.0,-3300.0
49,2053-11-01,Coverage_IN_CA_IID[Percent],100.0,999.0,-3200.0
50,2053-12-01,Coverage_IN_CA_IID[Percent],100.0,1057.0,-3100.0
51,2057-11-01,Coverage_IN_CA_IID[Percent],-100.0,2962.0,-3200.0
52,2057-12-01,Coverage_IN_CA_IID[Percent],-100.0,2782.0,-3300.0
53,2058-12-01,Coverage_IN_CA_IID[Percent],-100.0,1461.0,-3400.0
54,2061-11-01,Coverage_IN_CA_IID[Percent],100.0,314.0,-3300.0
55,2061-12-01,Coverage_IN_CA_IID[Percent],100.0,468.0,-3200.0
56,2062-11-01,Coverage_IN_CA_IID[Percent],100.0,951.0,-3100.0
57,2062-12-01,Coverage_IN_CA_IID[Percent],100.0,920.0,-3000.0
58,2063-11-01,Coverage_IN_CA_IID[Percent],100.0,837.0,-2900.0
59,2064-11-01,Coverage_IN_CA_IID[Percent],100.0,-86.0,-2800.0
60,2064-12-01,Coverage_IN_CA_IID[Percent],100.0,-94.0,-2700.0
61,2065-11-01,Coverage_IN_CA_IID[Percent],100.0,-1478.0,-2600.0
62,2065-12-01,Coverage_IN_CA_IID[Percent],100.0,-1484.0,-2500.0
63,2066-12-01,Coverage_IN_CA_IID[Percent],100.0,1099.0,-2400.0
64,2067-11-01,Coverage_IN_CA_IID[Percent],100.0,3267.0,-2300.0
65,2067-12-01,Coverage_IN_CA_IID[Percent],100.0,3352.0,-2200.0
66,2068-11-01,Coverage_IN_CA_IID[Percent],100.0,3340.0,-2100.0
67,2068-12-01,Coverage_IN_CA_IID[Percent],100.0,3532.0,-2000.0
68,2069-12-01,Coverage_IN_CA_IID[Percent],-100.0,2782.0,-2100.0
69,2070-11-01,Coverage_IN_CA_IID[Percent],-100.0,4648.0,-2200.0
70,2029-05-01,Coverage_IN_CA_LADWP[Percent],5.0,4042.0,5.0
71,2033-05-01,Coverage_IN_CA_LADWP[Percent],-1.0,1791.0,4.0
72,2036-05-01,Coverage_IN_CA_LADWP[Percent],14.0,457.0,18.0
73,2036-06-01,Coverage_IN_CA_LADWP[Percent],5.0,713.0,23.0
74,2044-05-01,Coverage_IN_CA_LADWP[Percent],10.0,7669.0,33.0
75,2046-05-01,Coverage_IN_CA_LADWP[Percent],-11.0,6395.0,22.0
76,2052-05-01,Coverage_IN_CA_LADWP[Percent],-15.0,1789.0,7.0
77,2053-05-01,Coverage_IN_CA_LADWP[Percent],-17.0,997.0,-10.0
78,2057-05-01,Coverage_IN_CA_LADWP[Percent],-3.0,3346.0,-13.0
79,2057-06-01,Coverage_IN_CA_LADWP[Percent],-3.0,3410.0,-16.0
80,2058-05-01,Coverage_IN_CA_LADWP[Percent],-26.0,2250.0,-42.0
81,2058-06-01,Coverage_IN_CA_LADWP[Percent],-16.0,2116.0,-58.0
82,2059-05-01,Coverage_IN_CA_LADWP[Percent],-2.0,1162.0,-60.0
83,2060-05-01,Coverage_IN_CA_LADWP[Percent],-8.0,620.0,-68.0
84,2061-12-01,Coverage_IN_CA_LADWP[Percent],2.0,468.0,-66.0
85,2062-12-01,Coverage_IN_CA_LADWP[Percent],-6.0,920.0,-72.0
86,2064-05-01,Coverage_IN_CA_LADWP[Percent],-24.0,525.0,-96.0
87,2064-06-01,Coverage_IN_CA_LADWP[Percent],-8.0,354.0,-104.0
88,2065-04-01,Coverage_IN_CA_LADWP[Percent],-26.0,-741.0,-130.0
89,2065-05-01,Coverage_IN_CA_LADWP[Percent],-16.0,-809.0,-146.0
