,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2016-10-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-1043.0,39.0
1,2017-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-1294.0,78.0
2,2023-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,1156.0,117.0
3,2037-02-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-1129.0,156.0
4,2049-02-01,Coverage_OUT_AZ_NM_N[Percent],39.0,1164.0,195.0
5,2060-10-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-643.0,234.0
6,2061-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-1007.0,273.0
7,2063-01-01,Coverage_OUT_AZ_NM_N[Percent],-39.0,-33.0,234.0
8,2067-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,1153.0,273.0
9,2012-12-01,Coverage_OUT_CA_IID[Percent],100.0,-629.0,100.0
10,2019-12-01,Coverage_OUT_CA_IID[Percent],100.0,511.0,200.0
11,2020-12-01,Coverage_OUT_CA_IID[Percent],-100.0,1361.0,100.0
12,2021-12-01,Coverage_OUT_CA_IID[Percent],-100.0,747.0,0.0
13,2025-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2928.0,-100.0
14,2026-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3247.0,-200.0
15,2026-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3049.0,-300.0
16,2027-11-01,Coverage_OUT_CA_IID[Percent],-100.0,2986.0,-400.0
17,2027-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2888.0,-500.0
18,2028-11-01,Coverage_OUT_CA_IID[Percent],-100.0,2783.0,-600.0
19,2028-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2684.0,-700.0
20,2029-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3652.0,-800.0
21,2029-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3678.0,-900.0
22,2030-11-01,Coverage_OUT_CA_IID[Percent],-100.0,4359.0,-1000.0
23,2030-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4278.0,-1100.0
24,2031-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3504.0,-1200.0
25,2031-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3273.0,-1300.0
26,2032-11-01,Coverage_OUT_CA_IID[Percent],-100.0,983.0,-1400.0
27,2032-12-01,Coverage_OUT_CA_IID[Percent],-100.0,796.0,-1500.0
28,2033-11-01,Coverage_OUT_CA_IID[Percent],-100.0,-978.0,-1600.0
29,2033-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-1252.0,-1700.0
30,2034-11-01,Coverage_OUT_CA_IID[Percent],-100.0,-1662.0,-1800.0
31,2034-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-1744.0,-1900.0
32,2035-11-01,Coverage_OUT_CA_IID[Percent],-100.0,-1463.0,-2000.0
33,2035-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-1491.0,-2100.0
34,2036-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-978.0,-2200.0
35,2037-12-01,Coverage_OUT_CA_IID[Percent],-100.0,525.0,-2300.0
36,2039-11-01,Coverage_OUT_CA_IID[Percent],-100.0,1710.0,-2400.0
37,2039-12-01,Coverage_OUT_CA_IID[Percent],-100.0,1719.0,-2500.0
38,2040-11-01,Coverage_OUT_CA_IID[Percent],-100.0,2704.0,-2600.0
39,2040-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2709.0,-2700.0
40,2041-11-01,Coverage_OUT_CA_IID[Percent],-100.0,4013.0,-2800.0
41,2041-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3913.0,-2900.0
42,2042-11-01,Coverage_OUT_CA_IID[Percent],-100.0,4825.0,-3000.0
43,2042-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4886.0,-3100.0
