,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2011-01-01,GW_storage_AZ_APS_E_GW[AF],44.0,86991.0,44.0
1,2011-02-01,GW_storage_AZ_APS_E_GW[AF],4421.0,655523.0,4465.0
2,2011-03-01,GW_storage_AZ_APS_E_GW[AF],17452.0,634240.0,21917.0
3,2011-04-01,GW_storage_AZ_APS_E_GW[AF],35902.0,-982323.0,57819.0
4,2011-05-01,GW_storage_AZ_APS_E_GW[AF],52076.0,-6104761.0,109895.0
5,2011-06-01,GW_storage_AZ_APS_E_GW[AF],61038.0,-15335721.0,170933.0
6,2011-07-01,GW_storage_AZ_APS_E_GW[AF],66609.0,-27114254.0,237542.0
7,2011-08-01,GW_storage_AZ_APS_E_GW[AF],74495.0,-39649147.0,312037.0
8,2011-09-01,GW_storage_AZ_APS_E_GW[AF],83356.0,-51775177.0,395393.0
9,2011-10-01,GW_storage_AZ_APS_E_GW[AF],87996.0,-63675353.0,483389.0
10,2011-11-01,GW_storage_AZ_APS_E_GW[AF],89075.0,-75702114.0,572464.0
11,2011-12-01,GW_storage_AZ_APS_E_GW[AF],87666.0,-87167860.0,660130.0
12,2012-01-01,GW_storage_AZ_APS_E_GW[AF],83856.0,-96228646.0,743986.0
13,2012-02-01,GW_storage_AZ_APS_E_GW[AF],78406.0,-101705297.0,822392.0
14,2012-03-01,GW_storage_AZ_APS_E_GW[AF],73540.0,-103521250.0,895932.0
15,2012-04-01,GW_storage_AZ_APS_E_GW[AF],69081.0,-102921657.0,965013.0
16,2012-05-01,GW_storage_AZ_APS_E_GW[AF],65271.0,-101002664.0,1030284.0
17,2012-06-01,GW_storage_AZ_APS_E_GW[AF],63348.0,-98363910.0,1093632.0
18,2012-07-01,GW_storage_AZ_APS_E_GW[AF],61041.0,-95429967.0,1154673.0
19,2012-08-01,GW_storage_AZ_APS_E_GW[AF],58529.0,-91667435.0,1213202.0
20,2012-09-01,GW_storage_AZ_APS_E_GW[AF],56147.0,-87045103.0,1269349.0
21,2012-10-01,GW_storage_AZ_APS_E_GW[AF],58805.0,-81864361.0,1328154.0
22,2012-11-01,GW_storage_AZ_APS_E_GW[AF],66404.0,-76563362.0,1394558.0
23,2012-12-01,GW_storage_AZ_APS_E_GW[AF],73090.0,-71669330.0,1467648.0
24,2013-01-01,GW_storage_AZ_APS_E_GW[AF],79586.0,-66688056.0,1547234.0
25,2013-02-01,GW_storage_AZ_APS_E_GW[AF],84985.0,-60746653.0,1632219.0
26,2013-03-01,GW_storage_AZ_APS_E_GW[AF],85890.0,-53580236.0,1718109.0
27,2013-04-01,GW_storage_AZ_APS_E_GW[AF],84710.0,-45403929.0,1802819.0
28,2013-05-01,GW_storage_AZ_APS_E_GW[AF],83880.0,-36364295.0,1886699.0
29,2013-06-01,GW_storage_AZ_APS_E_GW[AF],82978.0,-26124451.0,1969677.0
30,2013-07-01,GW_storage_AZ_APS_E_GW[AF],80867.0,-15384869.0,2050544.0
31,2013-08-01,GW_storage_AZ_APS_E_GW[AF],76808.0,-4613748.0,2127352.0
32,2013-09-01,GW_storage_AZ_APS_E_GW[AF],71015.0,4916893.0,2198367.0
33,2013-10-01,GW_storage_AZ_APS_E_GW[AF],66856.0,13095761.0,2265223.0
34,2013-11-01,GW_storage_AZ_APS_E_GW[AF],62784.0,20173196.0,2328007.0
35,2013-12-01,GW_storage_AZ_APS_E_GW[AF],58395.0,26980081.0,2386402.0
36,2014-01-01,GW_storage_AZ_APS_E_GW[AF],57337.0,33223780.0,2443739.0
37,2014-02-01,GW_storage_AZ_APS_E_GW[AF],58604.0,38190214.0,2502343.0
38,2014-03-01,GW_storage_AZ_APS_E_GW[AF],64425.0,41667647.0,2566768.0
39,2014-04-01,GW_storage_AZ_APS_E_GW[AF],72981.0,43768984.0,2639749.0
40,2014-05-01,GW_storage_AZ_APS_E_GW[AF],78017.0,44244129.0,2717766.0
41,2014-06-01,GW_storage_AZ_APS_E_GW[AF],79510.0,41895518.0,2797276.0
42,2014-07-01,GW_storage_AZ_APS_E_GW[AF],79480.0,37552807.0,2876756.0
43,2014-08-01,GW_storage_AZ_APS_E_GW[AF],79501.0,32290476.0,2956257.0
44,2014-09-01,GW_storage_AZ_APS_E_GW[AF],75968.0,25732035.0,3032225.0
45,2014-10-01,GW_storage_AZ_APS_E_GW[AF],69832.0,18297054.0,3102057.0
46,2014-11-01,GW_storage_AZ_APS_E_GW[AF],72717.0,9688592.0,3174774.0
47,2014-12-01,GW_storage_AZ_APS_E_GW[AF],86825.0,345787.0,3261599.0
