,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2012-12-01,Unmet_Dem_IN_CA_IID[AF],-7207.0,-34139.0,-7207.0
1,2019-12-01,Unmet_Dem_IN_CA_IID[AF],-7679.0,331275.0,-14886.0
2,2020-12-01,Unmet_Dem_IN_CA_IID[AF],7755.0,-30929.0,-7131.0
3,2021-12-01,Unmet_Dem_IN_CA_IID[AF],7833.0,354135.0,702.0
4,2025-12-01,Unmet_Dem_IN_CA_IID[AF],8151.0,-425075.0,8853.0
5,2026-11-01,Unmet_Dem_IN_CA_IID[AF],8438.0,-599985.0,17291.0
6,2026-12-01,Unmet_Dem_IN_CA_IID[AF],8233.0,-591595.0,25524.0
7,2027-11-01,Unmet_Dem_IN_CA_IID[AF],8523.0,-583463.0,34047.0
8,2027-12-01,Unmet_Dem_IN_CA_IID[AF],8315.0,-575292.0,42362.0
9,2028-11-01,Unmet_Dem_IN_CA_IID[AF],8608.0,-585368.0,50970.0
10,2028-12-01,Unmet_Dem_IN_CA_IID[AF],8398.0,-577061.0,59368.0
11,2029-11-01,Unmet_Dem_IN_CA_IID[AF],8694.0,-1085682.0,68062.0
12,2029-12-01,Unmet_Dem_IN_CA_IID[AF],8482.0,-1106165.0,76544.0
13,2030-11-01,Unmet_Dem_IN_CA_IID[AF],8781.0,-1463000.0,85325.0
14,2030-12-01,Unmet_Dem_IN_CA_IID[AF],8567.0,-1462217.0,93892.0
15,2031-11-01,Unmet_Dem_IN_CA_IID[AF],8869.0,-931146.0,102761.0
16,2031-12-01,Unmet_Dem_IN_CA_IID[AF],8653.0,-907278.0,111414.0
17,2032-11-01,Unmet_Dem_IN_CA_IID[AF],8957.0,228882.0,120371.0
18,2032-12-01,Unmet_Dem_IN_CA_IID[AF],8739.0,261998.0,129110.0
19,2033-11-01,Unmet_Dem_IN_CA_IID[AF],9047.0,1050411.0,138157.0
20,2033-12-01,Unmet_Dem_IN_CA_IID[AF],8826.0,1090908.0,146983.0
21,2034-11-01,Unmet_Dem_IN_CA_IID[AF],9138.0,1310072.0,156121.0
22,2034-12-01,Unmet_Dem_IN_CA_IID[AF],8915.0,1314484.0,165036.0
23,2035-11-01,Unmet_Dem_IN_CA_IID[AF],9229.0,1009825.0,174265.0
24,2035-12-01,Unmet_Dem_IN_CA_IID[AF],9004.0,965904.0,183269.0
25,2036-12-01,Unmet_Dem_IN_CA_IID[AF],9094.0,514849.0,192363.0
26,2037-12-01,Unmet_Dem_IN_CA_IID[AF],9185.0,-406284.0,201548.0
27,2039-11-01,Unmet_Dem_IN_CA_IID[AF],9604.0,-213233.0,211152.0
28,2039-12-01,Unmet_Dem_IN_CA_IID[AF],9369.0,-214231.0,220521.0
29,2040-11-01,Unmet_Dem_IN_CA_IID[AF],9700.0,-631630.0,230221.0
30,2040-12-01,Unmet_Dem_IN_CA_IID[AF],9463.0,-642904.0,239684.0
31,2041-11-01,Unmet_Dem_IN_CA_IID[AF],9797.0,-880671.0,249481.0
32,2041-12-01,Unmet_Dem_IN_CA_IID[AF],9558.0,-871143.0,259039.0
33,2042-11-01,Unmet_Dem_IN_CA_IID[AF],9895.0,-1050739.0,268934.0
34,2042-12-01,Unmet_Dem_IN_CA_IID[AF],9653.0,-1068346.0,278587.0
35,2043-11-01,Unmet_Dem_IN_CA_IID[AF],9994.0,-2217456.0,288581.0
36,2043-12-01,Unmet_Dem_IN_CA_IID[AF],9750.0,-2217405.0,298331.0
