,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],25.0,25.0,25.0
1,2011-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-13.0,12.0,12.0
2,2011-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,18.0,18.0
3,2011-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,353.0,23.0
4,2011-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,-4828.0,26.0
5,2011-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-7.0,-10982.0,19.0
6,2011-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],38.0,-10909.0,57.0
7,2011-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,-12413.0,67.0
8,2011-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],-35.0,-19666.0,32.0
9,2011-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],-25.0,-19695.0,7.0
10,2011-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],-20.0,-19732.0,-13.0
11,2012-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],-19.0,-19751.0,-32.0
12,2012-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],-30.0,-19781.0,-62.0
13,2012-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-22.0,-19803.0,-84.0
14,2012-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],-18.0,-19821.0,-102.0
15,2012-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,-18399.0,-104.0
16,2012-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-16453.0,-102.0
17,2012-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-13.0,-16026.0,-115.0
18,2012-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],13.0,-15388.0,-102.0
19,2012-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],-15.0,-13847.0,-117.0
20,2012-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],50.0,-6457.0,-67.0
21,2012-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],27.0,-5807.0,-40.0
22,2012-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-5837.0,-35.0
23,2013-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-5695.0,-33.0
24,2013-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],-22.0,-5717.0,-55.0
