,Date,Location,Reduction_in_supply_delivered,Running_total,Location_running_total
0,2011-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],3.0,-2913890.0,3.0
1,2011-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],5.0,-9678120.0,8.0
2,2011-05-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-18504158.0,9.0
3,2011-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-15936470.0,10.0
4,2011-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],15.0,-13425998.0,25.0
5,2011-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],3.0,-9863122.0,28.0
6,2011-10-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-9616782.0,26.0
7,2011-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-6.0,-10147575.0,20.0
8,2011-12-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-9.0,-10271111.0,11.0
9,2012-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-9641769.0,9.0
10,2012-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-8928792.0,7.0
11,2012-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],5.0,-8376855.0,12.0
12,2012-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-8445041.0,10.0
13,2012-05-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-1.0,-10717872.0,9.0
14,2012-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-3.0,-14201139.0,6.0
15,2012-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-5.0,-13867287.0,1.0
16,2012-10-01,Supply_Del_AZ_APS_E_Upr Salt[AF],14.0,-14212077.0,15.0
17,2012-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],6.0,-15769502.0,21.0
18,2013-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-16568052.0,19.0
19,2013-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-4.0,-16881269.0,15.0
20,2013-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-8.0,-16358405.0,7.0
21,2013-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-13952902.0,5.0
22,2013-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-15606574.0,3.0
23,2013-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-4.0,-20044898.0,-1.0
24,2013-10-01,Supply_Del_AZ_APS_E_Upr Salt[AF],6.0,-20241187.0,5.0
25,2013-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-10.0,-20525705.0,-5.0
26,2013-12-01,Supply_Del_AZ_APS_E_Upr Salt[AF],5.0,-19613117.0,0.0
27,2014-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],5.0,-19414021.0,5.0
28,2014-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],3.0,-18883056.0,8.0
29,2014-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],3.0,-18043025.0,11.0
30,2014-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-19245950.0,13.0
31,2014-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-21445724.0,11.0
32,2014-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-19373740.0,9.0
33,2014-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-13.0,-23572083.0,-4.0
34,2014-10-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-23980440.0,-6.0
35,2014-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],9.0,-24478984.0,3.0
36,2014-12-01,Supply_Del_AZ_APS_E_Upr Salt[AF],4.0,-24486547.0,7.0
37,2015-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],6.0,-23910919.0,13.0
38,2015-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],7.0,-23176763.0,20.0
39,2015-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],6.0,-24568335.0,26.0
40,2015-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],5.0,-25340719.0,31.0
41,2015-05-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-1.0,-33460070.0,30.0
42,2015-06-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-1.0,-37486190.0,29.0
43,2015-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-36009584.0,31.0
44,2015-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-8.0,-34529063.0,23.0
45,2015-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-7.0,-36564960.0,16.0
46,2015-10-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-12.0,-36854756.0,4.0
47,2015-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-1.0,-37051046.0,3.0
