,Date,Location,Reduction_in_supply_delivered,Running_total,Location_running_total
0,2011-02-01,Supply_Del_OUT_AZ_APS_E[AF],5.0,-3200.0,5.0
1,2011-03-01,Supply_Del_OUT_AZ_APS_E[AF],18.0,-2106.0,23.0
2,2011-04-01,Supply_Del_OUT_AZ_APS_E[AF],19.0,4520.0,42.0
3,2011-05-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,24178.0,46.0
4,2011-06-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,28248.0,48.0
5,2011-07-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,16095.0,51.0
6,2011-08-01,Supply_Del_OUT_AZ_APS_E[AF],33.0,31054.0,84.0
7,2011-09-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,73297.0,93.0
8,2011-10-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,46064.0,90.0
9,2011-11-01,Supply_Del_OUT_AZ_APS_E[AF],-13.0,2857.0,77.0
10,2011-12-01,Supply_Del_OUT_AZ_APS_E[AF],-17.0,-26861.0,60.0
11,2012-01-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,-10900.0,59.0
12,2012-02-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,624.0,56.0
13,2012-03-01,Supply_Del_OUT_AZ_APS_E[AF],12.0,11380.0,68.0
14,2012-04-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,21629.0,64.0
15,2012-05-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,26440.0,62.0
16,2012-06-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,41553.0,64.0
17,2012-07-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,36239.0,66.0
18,2012-08-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,49866.0,59.0
19,2012-09-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,46181.0,49.0
20,2012-10-01,Supply_Del_OUT_AZ_APS_E[AF],24.0,60710.0,73.0
21,2012-11-01,Supply_Del_OUT_AZ_APS_E[AF],16.0,46551.0,89.0
22,2013-01-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,28540.0,85.0
23,2013-02-01,Supply_Del_OUT_AZ_APS_E[AF],-14.0,8258.0,71.0
24,2013-03-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,27013.0,65.0
25,2013-04-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,44862.0,61.0
26,2013-06-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,27347.0,63.0
27,2013-07-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,13842.0,58.0
28,2013-09-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-45321.0,49.0
29,2013-10-01,Supply_Del_OUT_AZ_APS_E[AF],15.0,-62098.0,64.0
30,2013-11-01,Supply_Del_OUT_AZ_APS_E[AF],-18.0,-73802.0,46.0
31,2013-12-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,-28504.0,52.0
32,2014-01-01,Supply_Del_OUT_AZ_APS_E[AF],14.0,-16550.0,66.0
33,2014-02-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-16236.0,79.0
34,2014-04-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,-12715.0,78.0
35,2014-07-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-6942.0,74.0
36,2014-08-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-8708.0,70.0
37,2014-09-01,Supply_Del_OUT_AZ_APS_E[AF],-30.0,-39961.0,40.0
38,2014-10-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-49342.0,36.0
39,2014-11-01,Supply_Del_OUT_AZ_APS_E[AF],16.0,-44025.0,52.0
40,2014-12-01,Supply_Del_OUT_AZ_APS_E[AF],7.0,-35930.0,59.0
41,2015-01-01,Supply_Del_OUT_AZ_APS_E[AF],12.0,-26316.0,71.0
42,2015-02-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-18896.0,84.0
43,2015-03-01,Supply_Del_OUT_AZ_APS_E[AF],14.0,8491.0,98.0
44,2015-04-01,Supply_Del_OUT_AZ_APS_E[AF],14.0,41357.0,112.0
45,2015-07-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,18419.0,118.0
46,2015-08-01,Supply_Del_OUT_AZ_APS_E[AF],-19.0,7709.0,99.0
47,2015-09-01,Supply_Del_OUT_AZ_APS_E[AF],-16.0,589.0,83.0
48,2015-10-01,Supply_Del_OUT_AZ_APS_E[AF],-24.0,-30198.0,59.0
49,2015-11-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,-16569.0,53.0
50,2015-12-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-45159.0,46.0
51,2016-01-01,Supply_Del_OUT_AZ_APS_E[AF],15.0,-33395.0,61.0
52,2016-02-01,Supply_Del_OUT_AZ_APS_E[AF],19.0,-1346.0,80.0
53,2016-03-01,Supply_Del_OUT_AZ_APS_E[AF],26.0,74854.0,106.0
54,2016-04-01,Supply_Del_OUT_AZ_APS_E[AF],22.0,155743.0,128.0
55,2016-05-01,Supply_Del_OUT_AZ_APS_E[AF],5.0,246308.0,133.0
56,2016-06-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,286051.0,122.0
57,2016-07-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,298635.0,126.0
58,2016-08-01,Supply_Del_OUT_AZ_APS_E[AF],5.0,291783.0,131.0
59,2016-09-01,Supply_Del_OUT_AZ_APS_E[AF],14.0,296249.0,145.0
60,2016-10-01,Supply_Del_OUT_AZ_APS_E[AF],-25.0,276366.0,120.0
61,2017-04-01,Supply_Del_OUT_AZ_APS_E[AF],-21.0,265269.0,99.0
62,2017-05-01,Supply_Del_OUT_AZ_APS_E[AF],-16.0,292397.0,83.0
63,2017-06-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,309039.0,79.0
64,2017-07-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,310808.0,74.0
65,2017-08-01,Supply_Del_OUT_AZ_APS_E[AF],5.0,315267.0,79.0
66,2017-09-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,299822.0,80.0
67,2017-11-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,230545.0,70.0
68,2017-12-01,Supply_Del_OUT_AZ_APS_E[AF],15.0,252144.0,85.0
69,2018-01-01,Supply_Del_OUT_AZ_APS_E[AF],-14.0,246127.0,71.0
70,2018-02-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,240855.0,68.0
71,2018-03-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,243581.0,65.0
72,2018-04-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,226982.0,64.0
73,2018-06-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,252624.0,67.0
74,2018-07-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,225571.0,60.0
75,2018-08-01,Supply_Del_OUT_AZ_APS_E[AF],18.0,251006.0,78.0
76,2018-09-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,261753.0,77.0
77,2018-10-01,Supply_Del_OUT_AZ_APS_E[AF],-18.0,215680.0,59.0
78,2018-11-01,Supply_Del_OUT_AZ_APS_E[AF],-8.0,215504.0,51.0
79,2018-12-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,177061.0,41.0
80,2019-01-01,Supply_Del_OUT_AZ_APS_E[AF],11.0,198465.0,52.0
81,2019-02-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,197081.0,45.0
82,2019-03-01,Supply_Del_OUT_AZ_APS_E[AF],-24.0,142829.0,21.0
83,2019-04-01,Supply_Del_OUT_AZ_APS_E[AF],-22.0,69872.0,-1.0
84,2019-05-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-8533.0,-8.0
85,2019-06-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,-48273.0,-11.0
86,2019-07-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-78330.0,-22.0
87,2019-09-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-95239.0,-31.0
88,2019-10-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,-139774.0,-27.0
89,2019-11-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-162418.0,-36.0
90,2020-01-01,Supply_Del_OUT_AZ_APS_E[AF],11.0,-87534.0,-25.0
91,2020-03-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,-64719.0,-22.0
92,2020-04-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,-120838.0,-28.0
93,2020-06-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-126339.0,-30.0
94,2020-08-01,Supply_Del_OUT_AZ_APS_E[AF],5.0,-148595.0,-25.0
95,2020-09-01,Supply_Del_OUT_AZ_APS_E[AF],-24.0,-215564.0,-49.0
96,2020-10-01,Supply_Del_OUT_AZ_APS_E[AF],-12.0,-242442.0,-61.0
97,2020-11-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-204350.0,-48.0
98,2020-12-01,Supply_Del_OUT_AZ_APS_E[AF],8.0,-165321.0,-40.0
99,2021-02-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-139122.0,-27.0
100,2021-03-01,Supply_Del_OUT_AZ_APS_E[AF],15.0,-108355.0,-12.0
101,2021-04-01,Supply_Del_OUT_AZ_APS_E[AF],17.0,-77552.0,5.0
102,2021-05-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-111371.0,3.0
103,2021-06-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-104764.0,1.0
104,2021-07-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-132907.0,-3.0
105,2021-08-01,Supply_Del_OUT_AZ_APS_E[AF],10.0,-188745.0,7.0
106,2021-09-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-217046.0,-4.0
107,2021-10-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-216250.0,-6.0
108,2021-11-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,-185233.0,-3.0
109,2021-12-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-216287.0,-8.0
110,2022-01-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,-222505.0,-9.0
111,2022-02-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-233851.0,-20.0
112,2022-03-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,-238604.0,-26.0
113,2022-04-01,Supply_Del_OUT_AZ_APS_E[AF],-16.0,-245317.0,-42.0
114,2022-05-01,Supply_Del_OUT_AZ_APS_E[AF],-15.0,-305271.0,-57.0
115,2022-07-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-415019.0,-61.0
116,2022-08-01,Supply_Del_OUT_AZ_APS_E[AF],14.0,-432959.0,-47.0
117,2022-09-01,Supply_Del_OUT_AZ_APS_E[AF],28.0,-450568.0,-19.0
118,2022-10-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-461337.0,-30.0
119,2022-11-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-521330.0,-41.0
120,2023-01-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,-514987.0,-42.0
121,2023-03-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-530285.0,-49.0
122,2023-04-01,Supply_Del_OUT_AZ_APS_E[AF],-24.0,-579934.0,-73.0
123,2023-05-01,Supply_Del_OUT_AZ_APS_E[AF],-14.0,-653671.0,-87.0
124,2023-06-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,-654850.0,-93.0
125,2023-07-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-662127.0,-91.0
126,2023-08-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,-689566.0,-85.0
127,2023-10-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-679963.0,-83.0
128,2023-11-01,Supply_Del_OUT_AZ_APS_E[AF],11.0,-653195.0,-72.0
129,2023-12-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-638012.0,-70.0
130,2024-01-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-662343.0,-72.0
131,2024-03-01,Supply_Del_OUT_AZ_APS_E[AF],-21.0,-721851.0,-93.0
132,2024-04-01,Supply_Del_OUT_AZ_APS_E[AF],-30.0,-831254.0,-123.0
133,2024-05-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-936155.0,-132.0
134,2024-06-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-1019631.0,-136.0
135,2024-07-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,-1068847.0,-139.0
136,2024-08-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-1087225.0,-141.0
137,2024-09-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-1106328.0,-150.0
138,2024-10-01,Supply_Del_OUT_AZ_APS_E[AF],23.0,-1087314.0,-127.0
139,2024-11-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,-1061866.0,-118.0
140,2024-12-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,-1040561.0,-109.0
141,2025-01-01,Supply_Del_OUT_AZ_APS_E[AF],8.0,-1029265.0,-101.0
142,2025-02-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,-1022068.0,-95.0
143,2025-03-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,-1020814.0,-91.0
144,2025-04-01,Supply_Del_OUT_AZ_APS_E[AF],22.0,-979884.0,-69.0
145,2025-05-01,Supply_Del_OUT_AZ_APS_E[AF],10.0,-931465.0,-59.0
146,2025-07-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-883751.0,-57.0
147,2025-08-01,Supply_Del_OUT_AZ_APS_E[AF],21.0,-974968.0,-36.0
148,2025-09-01,Supply_Del_OUT_AZ_APS_E[AF],17.0,-986730.0,-19.0
149,2025-10-01,Supply_Del_OUT_AZ_APS_E[AF],-12.0,-1027711.0,-31.0
150,2025-11-01,Supply_Del_OUT_AZ_APS_E[AF],-15.0,-1061781.0,-46.0
151,2025-12-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,-1066843.0,-49.0
152,2026-03-01,Supply_Del_OUT_AZ_APS_E[AF],-20.0,-1071502.0,-69.0
153,2026-04-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,-1103223.0,-72.0
154,2026-05-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-1137914.0,-76.0
155,2026-07-01,Supply_Del_OUT_AZ_APS_E[AF],-12.0,-1213675.0,-88.0
156,2026-08-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-1226146.0,-90.0
157,2026-09-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-1256691.0,-88.0
158,2026-10-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,-1269697.0,-87.0
159,2026-12-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-1276105.0,-92.0
160,2027-01-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-1283533.0,-97.0
161,2027-05-01,Supply_Del_OUT_AZ_APS_E[AF],16.0,-1289529.0,-81.0
162,2027-06-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,-1285196.0,-80.0
163,2027-07-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-1300339.0,-85.0
164,2027-08-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,-1349534.0,-81.0
165,2027-09-01,Supply_Del_OUT_AZ_APS_E[AF],-29.0,-1399400.0,-110.0
166,2027-10-01,Supply_Del_OUT_AZ_APS_E[AF],-21.0,-1427089.0,-131.0
167,2027-11-01,Supply_Del_OUT_AZ_APS_E[AF],-16.0,-1448638.0,-147.0
168,2027-12-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-1448670.0,-149.0
169,2028-01-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-1438085.0,-147.0
170,2028-02-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-1399464.0,-145.0
171,2028-03-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,-1366114.0,-139.0
172,2028-04-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-1387242.0,-146.0
173,2028-05-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,-1385905.0,-149.0
174,2028-06-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-1404283.0,-154.0
175,2028-07-01,Supply_Del_OUT_AZ_APS_E[AF],-19.0,-1445620.0,-173.0
176,2028-08-01,Supply_Del_OUT_AZ_APS_E[AF],-21.0,-1479924.0,-194.0
177,2028-09-01,Supply_Del_OUT_AZ_APS_E[AF],-29.0,-1500439.0,-223.0
178,2028-10-01,Supply_Del_OUT_AZ_APS_E[AF],-23.0,-1523328.0,-246.0
179,2028-11-01,Supply_Del_OUT_AZ_APS_E[AF],-20.0,-1564109.0,-266.0
180,2028-12-01,Supply_Del_OUT_AZ_APS_E[AF],-15.0,-1587110.0,-281.0
181,2029-01-01,Supply_Del_OUT_AZ_APS_E[AF],-14.0,-1615516.0,-295.0
182,2029-02-01,Supply_Del_OUT_AZ_APS_E[AF],-17.0,-1658076.0,-312.0
183,2029-03-01,Supply_Del_OUT_AZ_APS_E[AF],-19.0,-1722037.0,-331.0
184,2029-04-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,-1756984.0,-341.0
185,2029-06-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,-1729586.0,-338.0
186,2029-07-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,-1738556.0,-344.0
187,2029-08-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,-1743298.0,-340.0
188,2029-09-01,Supply_Del_OUT_AZ_APS_E[AF],-26.0,-1788808.0,-366.0
189,2029-10-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,-1807438.0,-376.0
190,2029-11-01,Supply_Del_OUT_AZ_APS_E[AF],-20.0,-1884235.0,-396.0
191,2029-12-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-1883399.0,-398.0
192,2030-01-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-1871529.0,-385.0
193,2030-04-01,Supply_Del_OUT_AZ_APS_E[AF],8.0,-1863457.0,-377.0
194,2030-06-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,-1865734.0,-371.0
195,2030-07-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-1880494.0,-369.0
196,2030-08-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-1899266.0,-373.0
197,2030-09-01,Supply_Del_OUT_AZ_APS_E[AF],23.0,-1936657.0,-350.0
198,2030-10-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-1943337.0,-359.0
199,2030-11-01,Supply_Del_OUT_AZ_APS_E[AF],-13.0,-1953057.0,-372.0
200,2031-01-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-1936470.0,-383.0
201,2031-02-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-1938329.0,-390.0
202,2031-03-01,Supply_Del_OUT_AZ_APS_E[AF],11.0,-1915050.0,-379.0
203,2031-04-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,-1846158.0,-373.0
204,2031-05-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,-1757144.0,-364.0
205,2031-06-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,-1710235.0,-363.0
206,2031-07-01,Supply_Del_OUT_AZ_APS_E[AF],17.0,-1717190.0,-346.0
