,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-7228.0,-3.0
1,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,-3425.0,-7.0
2,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,550.0,-12.0
3,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,2945.0,-14.0
4,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,5491.0,-16.0
5,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,49028.0,-18.0
6,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,47535.0,-21.0
7,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,46482.0,-23.0
8,2025-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],55074.0,5206205.0,55051.0
9,2025-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],35461.0,8015685.0,90512.0
10,2025-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],25009.0,8956672.0,115521.0
11,2025-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],20217.0,9583268.0,135738.0
12,2025-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17097.0,9853861.0,152835.0
13,2026-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14146.0,10057764.0,166981.0
14,2026-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],11522.0,10231636.0,178503.0
15,2026-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8397.0,10295377.0,186900.0
16,2026-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5732.0,10865096.0,192632.0
17,2026-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3547.0,11310882.0,196179.0
18,2026-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2047.0,11505435.0,198226.0
19,2026-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1127.0,11590737.0,199353.0
20,2026-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],637.0,11622472.0,199990.0
21,2026-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],415.0,11604252.0,200405.0
22,2026-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],295.0,11502258.0,200700.0
23,2026-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],239.0,11432773.0,200939.0
24,2026-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],202.0,11368244.0,201141.0
25,2027-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],171.0,11329997.0,201312.0
26,2027-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],98.0,11330095.0,201410.0
27,2027-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],77.0,11330243.0,201487.0
28,2027-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],54.0,11328118.0,201541.0
29,2027-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],35.0,11324947.0,201576.0
30,2027-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],21.0,11313292.0,201597.0
31,2027-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],12.0,11306435.0,201609.0
32,2027-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6.0,11305648.0,201615.0
33,2027-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,11311391.0,201619.0
34,2027-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,11330270.0,201621.0
35,2027-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,11360471.0,201624.0
36,2028-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,11361994.0,201626.0
37,2028-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,11362759.0,201628.0
38,2028-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,11402588.0,201626.0
39,2029-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,11701236.0,201628.0
40,2029-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,11642254.0,201626.0
41,2030-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,11611269.0,201624.0
42,2030-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,11608876.0,201622.0
43,2030-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,11629735.0,201620.0
44,2030-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,10856782.0,201618.0
