,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2021-01-01,GW_storage_AZ_APS_E_GW[AF],11.0,2330.0,11.0
1,2021-02-01,GW_storage_AZ_APS_E_GW[AF],23.0,7156.0,34.0
2,2021-03-01,GW_storage_AZ_APS_E_GW[AF],35.0,11612.0,69.0
3,2021-04-01,GW_storage_AZ_APS_E_GW[AF],46.0,18669.0,115.0
4,2021-05-01,GW_storage_AZ_APS_E_GW[AF],58.0,28424.0,173.0
5,2021-06-01,GW_storage_AZ_APS_E_GW[AF],70.0,41183.0,243.0
6,2021-07-01,GW_storage_AZ_APS_E_GW[AF],81.0,56506.0,324.0
7,2021-08-01,GW_storage_AZ_APS_E_GW[AF],92.0,73993.0,416.0
8,2021-09-01,GW_storage_AZ_APS_E_GW[AF],103.0,93609.0,519.0
9,2021-10-01,GW_storage_AZ_APS_E_GW[AF],113.0,115046.0,632.0
10,2021-11-01,GW_storage_AZ_APS_E_GW[AF],123.0,134502.0,755.0
11,2021-12-01,GW_storage_AZ_APS_E_GW[AF],132.0,155612.0,887.0
12,2022-01-01,GW_storage_AZ_APS_E_GW[AF],154.0,180932.0,1041.0
13,2022-02-01,GW_storage_AZ_APS_E_GW[AF],175.0,208358.0,1216.0
14,2022-03-01,GW_storage_AZ_APS_E_GW[AF],196.0,241216.0,1412.0
15,2022-04-01,GW_storage_AZ_APS_E_GW[AF],217.0,279873.0,1629.0
16,2022-05-01,GW_storage_AZ_APS_E_GW[AF],238.0,323081.0,1867.0
17,2022-06-01,GW_storage_AZ_APS_E_GW[AF],259.0,372367.0,2126.0
18,2022-07-01,GW_storage_AZ_APS_E_GW[AF],280.0,427514.0,2406.0
19,2022-08-01,GW_storage_AZ_APS_E_GW[AF],301.0,494765.0,2707.0
20,2022-09-01,GW_storage_AZ_APS_E_GW[AF],320.0,568838.0,3027.0
21,2022-10-01,GW_storage_AZ_APS_E_GW[AF],339.0,650449.0,3366.0
22,2022-11-01,GW_storage_AZ_APS_E_GW[AF],356.0,740413.0,3722.0
23,2022-12-01,GW_storage_AZ_APS_E_GW[AF],373.0,834388.0,4095.0
24,2023-01-01,GW_storage_AZ_APS_E_GW[AF],402.0,931655.0,4497.0
25,2023-02-01,GW_storage_AZ_APS_E_GW[AF],431.0,1028171.0,4928.0
26,2023-03-01,GW_storage_AZ_APS_E_GW[AF],460.0,1134026.0,5388.0
27,2023-04-01,GW_storage_AZ_APS_E_GW[AF],489.0,1246358.0,5877.0
28,2023-05-01,GW_storage_AZ_APS_E_GW[AF],517.0,1366062.0,6394.0
29,2023-06-01,GW_storage_AZ_APS_E_GW[AF],547.0,1492935.0,6941.0
30,2023-07-01,GW_storage_AZ_APS_E_GW[AF],575.0,1626948.0,7516.0
31,2023-08-01,GW_storage_AZ_APS_E_GW[AF],603.0,1766846.0,8119.0
32,2023-09-01,GW_storage_AZ_APS_E_GW[AF],631.0,1913363.0,8750.0
33,2023-10-01,GW_storage_AZ_APS_E_GW[AF],655.0,2088010.0,9405.0
34,2023-11-01,GW_storage_AZ_APS_E_GW[AF],680.0,2268087.0,10085.0
35,2023-12-01,GW_storage_AZ_APS_E_GW[AF],702.0,2456228.0,10787.0
36,2024-01-01,GW_storage_AZ_APS_E_GW[AF],737.0,2652830.0,11524.0
37,2024-02-01,GW_storage_AZ_APS_E_GW[AF],773.0,2864837.0,12297.0
38,2024-03-01,GW_storage_AZ_APS_E_GW[AF],807.0,3085845.0,13104.0
39,2024-04-01,GW_storage_AZ_APS_E_GW[AF],842.0,3305464.0,13946.0
40,2024-05-01,GW_storage_AZ_APS_E_GW[AF],877.0,3532937.0,14823.0
41,2024-06-01,GW_storage_AZ_APS_E_GW[AF],914.0,3770179.0,15737.0
42,2024-07-01,GW_storage_AZ_APS_E_GW[AF],949.0,4017723.0,16686.0
43,2024-08-01,GW_storage_AZ_APS_E_GW[AF],984.0,4277696.0,17670.0
44,2024-09-01,GW_storage_AZ_APS_E_GW[AF],1017.0,4549543.0,18687.0
