,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2050-11-01,Unmet_Dem_IN_CA_IID[AF],1033.0,4521309.0,1033.0
1,2050-12-01,Unmet_Dem_IN_CA_IID[AF],1008.0,4523062.0,2041.0
2,2051-11-01,Unmet_Dem_IN_CA_IID[AF],1044.0,4883205.0,3085.0
3,2051-12-01,Unmet_Dem_IN_CA_IID[AF],1018.0,4885204.0,4103.0
4,2052-11-01,Unmet_Dem_IN_CA_IID[AF],1054.0,5213324.0,5157.0
5,2052-12-01,Unmet_Dem_IN_CA_IID[AF],1028.0,5217915.0,6185.0
6,2053-11-01,Unmet_Dem_IN_CA_IID[AF],1064.0,5517606.0,7249.0
7,2053-12-01,Unmet_Dem_IN_CA_IID[AF],1039.0,5522092.0,8288.0
8,2054-12-01,Unmet_Dem_IN_CA_IID[AF],-9829.0,5991504.0,-1541.0
9,2061-11-01,Unmet_Dem_IN_CA_IID[AF],1153.0,7741614.0,-388.0
10,2061-12-01,Unmet_Dem_IN_CA_IID[AF],1125.0,7840649.0,737.0
11,2062-11-01,Unmet_Dem_IN_CA_IID[AF],1164.0,7857355.0,1901.0
12,2062-12-01,Unmet_Dem_IN_CA_IID[AF],1136.0,7859468.0,3037.0
13,2063-11-01,Unmet_Dem_IN_CA_IID[AF],1176.0,7888404.0,4213.0
14,2063-12-01,Unmet_Dem_IN_CA_IID[AF],1147.0,7890524.0,5360.0
15,2064-11-01,Unmet_Dem_IN_CA_IID[AF],1188.0,7926161.0,6548.0
16,2064-12-01,Unmet_Dem_IN_CA_IID[AF],1159.0,7928319.0,7707.0
17,2065-11-01,Unmet_Dem_IN_CA_IID[AF],1200.0,8317316.0,8907.0
18,2065-12-01,Unmet_Dem_IN_CA_IID[AF],1170.0,8334476.0,10077.0
19,2066-12-01,Unmet_Dem_IN_CA_IID[AF],1182.0,9163488.0,11259.0
20,2067-11-01,Unmet_Dem_IN_CA_IID[AF],1224.0,10012481.0,12483.0
21,2067-12-01,Unmet_Dem_IN_CA_IID[AF],1194.0,10016891.0,13677.0
22,2068-11-01,Unmet_Dem_IN_CA_IID[AF],1236.0,10081283.0,14913.0
23,2068-12-01,Unmet_Dem_IN_CA_IID[AF],1206.0,10146135.0,16119.0
24,2069-12-01,Unmet_Dem_IN_CA_IID[AF],-11411.0,10616705.0,4708.0
