,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2025-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-15.0,16597.0,-15.0
1,2025-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],44.0,31574.0,29.0
2,2025-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,40064.0,44.0
3,2025-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,43974.0,49.0
4,2025-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,45735.0,51.0
5,2054-12-01,Unmet_Dem_OUT_CA_IID[AF],-155.0,932262.0,-155.0
6,2069-12-01,Unmet_Dem_OUT_CA_IID[AF],-152.0,1503067.0,-307.0
7,2029-05-01,Unmet_Dem_OUT_CA_LADWP[AF],551.0,64397.0,551.0
8,2034-05-01,Unmet_Dem_OUT_CA_LADWP[AF],13.0,122996.0,564.0
9,2036-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1512.0,229185.0,2076.0
10,2036-06-01,Unmet_Dem_OUT_CA_LADWP[AF],706.0,238413.0,2782.0
11,2037-05-01,Unmet_Dem_OUT_CA_LADWP[AF],61.0,292958.0,2843.0
12,2044-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1193.0,531077.0,4036.0
13,2066-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1279.0,1227437.0,5315.0
14,2066-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2000.0,1242538.0,7315.0
15,2067-04-01,Unmet_Dem_OUT_CA_LADWP[AF],361.0,1329940.0,7676.0
16,2067-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1302.0,1338917.0,8978.0
17,2067-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1697.0,1352179.0,10675.0
18,2067-10-01,Unmet_Dem_OUT_CA_LADWP[AF],1239.0,1420704.0,11914.0
19,2068-12-01,Unmet_Dem_OUT_CA_LADWP[AF],374.0,1436818.0,12288.0
20,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1312.0,1525550.0,13600.0
21,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2306.0,1540171.0,15906.0
22,2021-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],109.0,1509.0,109.0
23,2021-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],108.0,2061.0,217.0
24,2021-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],110.0,2641.0,327.0
25,2023-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],290.0,8977.0,617.0
26,2023-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1922.0,9093.0,-1305.0
27,2024-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],611.0,14174.0,-694.0
28,2024-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],577.0,14759.0,-117.0
29,2024-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],494.0,15262.0,377.0
30,2025-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2774.0,31574.0,3151.0
31,2025-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1434.0,40064.0,4585.0
32,2029-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],833.0,75797.0,5418.0
33,2029-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1749.0,82065.0,7167.0
34,2029-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2381.0,87482.0,9548.0
35,2029-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1491.0,92975.0,11039.0
36,2029-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1101.0,98049.0,12140.0
37,2030-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],118.0,99119.0,12258.0
38,2030-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1049.0,108700.0,13307.0
39,2030-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1090.0,113899.0,14397.0
40,2030-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],884.0,117837.0,15281.0
41,2034-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1254.0,130739.0,16535.0
42,2034-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1332.0,139989.0,17867.0
43,2034-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1891.0,144216.0,19758.0
44,2034-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1404.0,151018.0,21162.0
45,2034-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1342.0,158722.0,22504.0
46,2034-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1256.0,165397.0,23760.0
47,2034-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],767.0,166187.0,24527.0
48,2035-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],759.0,167490.0,25286.0
49,2035-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3240.0,176274.0,28526.0
50,2035-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4417.0,180741.0,32943.0
51,2035-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4984.0,189330.0,37927.0
52,2035-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5380.0,198262.0,43307.0
53,2035-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4115.0,207514.0,47422.0
54,2035-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2102.0,214254.0,49524.0
55,2035-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],761.0,217118.0,50285.0
56,2036-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],778.0,229185.0,51063.0
57,2036-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1454.0,238413.0,52517.0
58,2036-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3852.0,249426.0,56369.0
59,2036-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4590.0,260423.0,60959.0
60,2036-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5157.0,271650.0,66116.0
61,2036-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4892.0,278657.0,71008.0
62,2036-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2897.0,286006.0,73905.0
63,2036-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1380.0,287403.0,75285.0
64,2037-01-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],684.0,288113.0,75969.0
65,2037-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1295.0,302370.0,77264.0
66,2037-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2318.0,314393.0,79582.0
67,2037-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4344.0,322499.0,83926.0
68,2037-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5464.0,332725.0,89390.0
69,2037-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5991.0,342566.0,95381.0
70,2037-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2558.0,347685.0,97939.0
71,2037-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1173.0,348916.0,99112.0
72,2040-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],168.0,396867.0,99280.0
73,2040-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1651.0,398567.0,100931.0
74,2040-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1880.0,400490.0,102811.0
75,2040-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1824.0,405738.0,104635.0
