,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-5684.0,-3.0
1,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-5601.0,-5.0
2,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-5572.0,-8.0
3,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-5531.0,-11.0
4,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-5379.0,-13.0
5,2023-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-28136.0,-11.0
6,2024-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-31975.0,-9.0
7,2025-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],55073.0,4984868.0,55064.0
8,2025-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],35459.0,7791805.0,90523.0
9,2025-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],25008.0,8734301.0,115531.0
10,2025-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],20214.0,9361864.0,135745.0
11,2025-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17095.0,9622508.0,152840.0
12,2026-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14144.0,9826360.0,166984.0
13,2026-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],11521.0,10000212.0,178505.0
14,2026-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8396.0,10062694.0,186901.0
15,2026-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5729.0,10620374.0,192630.0
16,2026-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3545.0,11060412.0,196175.0
17,2026-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2045.0,11251755.0,198220.0
18,2026-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1126.0,11386332.0,199346.0
19,2026-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],636.0,11582476.0,199982.0
20,2026-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],413.0,11590080.0,200395.0
21,2026-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],294.0,11557142.0,200689.0
22,2026-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],240.0,11530473.0,200929.0
23,2026-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],201.0,11490635.0,201130.0
24,2027-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],170.0,11451796.0,201300.0
