,Date,Location,Reduction_in_electricity_demand,Running_total,Location_running_total
13373,2023-12-01,Elec_CAP[GwH],2.0,-82.0,2.0
13374,2024-06-01,Elec_CAP[GwH],-4.0,-67.0,-2.0
13375,2024-07-01,Elec_CAP[GwH],-1.0,-57.0,-3.0
13376,2024-08-01,Elec_CAP[GwH],-1.0,-48.0,-4.0
13377,2024-10-01,Elec_CAP[GwH],5.0,-24.0,1.0
13378,2024-12-01,Elec_CAP[GwH],-3.0,-27.0,-2.0
13379,2025-05-01,Elec_CAP[GwH],3.0,-14.0,1.0
13380,2025-07-01,Elec_CAP[GwH],8.0,4.0,9.0
13381,2025-09-01,Elec_CAP[GwH],-494.0,290.0,-485.0
13382,2025-10-01,Elec_CAP[GwH],-252.0,561.0,-737.0
13383,2025-11-01,Elec_CAP[GwH],-310.0,306.0,-1047.0
13384,2025-12-01,Elec_CAP[GwH],-168.0,199.0,-1215.0
13385,2026-01-01,Elec_CAP[GwH],-323.0,-56.0,-1538.0
13386,2026-02-01,Elec_CAP[GwH],-87.0,29.0,-1625.0
13387,2026-03-01,Elec_CAP[GwH],-149.0,-71.0,-1774.0
13388,2026-04-01,Elec_CAP[GwH],214.0,182.0,-1560.0
13389,2026-05-01,Elec_CAP[GwH],19.0,181.0,-1541.0
13390,2026-10-01,Elec_CAP[GwH],12.0,648.0,-1529.0
13391,2026-11-01,Elec_CAP[GwH],3.0,681.0,-1526.0
13392,2026-12-01,Elec_CAP[GwH],1.0,689.0,-1525.0
13393,2027-01-01,Elec_CAP[GwH],16.0,700.0,-1509.0
13394,2027-02-01,Elec_CAP[GwH],9.0,694.0,-1500.0
13395,2027-04-01,Elec_CAP[GwH],2.0,-239.0,-1498.0
13396,2027-05-01,Elec_CAP[GwH],97.0,-788.0,-1401.0
13397,2027-06-01,Elec_CAP[GwH],12.0,-807.0,-1389.0
13398,2027-09-01,Elec_CAP[GwH],27.0,-88.0,-1362.0
13399,2027-10-01,Elec_CAP[GwH],19.0,199.0,-1343.0
13400,2027-12-01,Elec_CAP[GwH],4.0,652.0,-1339.0
13401,2028-01-01,Elec_CAP[GwH],12.0,789.0,-1327.0
13402,2028-02-01,Elec_CAP[GwH],11.0,819.0,-1316.0
13403,2028-03-01,Elec_CAP[GwH],1.0,832.0,-1315.0
13404,2028-04-01,Elec_CAP[GwH],28.0,873.0,-1287.0
13405,2028-05-01,Elec_CAP[GwH],14.0,937.0,-1273.0
13406,2028-12-01,Elec_CAP[GwH],8.0,2606.0,-1265.0
13407,2029-01-01,Elec_CAP[GwH],4.0,2754.0,-1261.0
13408,2029-02-01,Elec_CAP[GwH],-4.0,2866.0,-1265.0
13409,2029-03-01,Elec_CAP[GwH],-5.0,2984.0,-1270.0
13410,2029-04-01,Elec_CAP[GwH],-3.0,3152.0,-1273.0
13411,2029-05-01,Elec_CAP[GwH],-6.0,3329.0,-1279.0
13412,2029-10-01,Elec_CAP[GwH],41.0,4795.0,-1238.0
13413,2029-12-01,Elec_CAP[GwH],1.0,4871.0,-1237.0
13414,2030-01-01,Elec_CAP[GwH],6.0,5074.0,-1231.0
13415,2030-05-01,Elec_CAP[GwH],7.0,5341.0,-1224.0
13416,2030-06-01,Elec_CAP[GwH],392.0,5976.0,-832.0
13417,2030-07-01,Elec_CAP[GwH],315.0,6576.0,-517.0
13418,2030-08-01,Elec_CAP[GwH],387.0,7226.0,-130.0
13419,2030-09-01,Elec_CAP[GwH],405.0,8105.0,275.0
13420,2030-10-01,Elec_CAP[GwH],82.0,8482.0,357.0
13421,2030-11-01,Elec_CAP[GwH],173.0,8745.0,530.0
13422,2030-12-01,Elec_CAP[GwH],203.0,9076.0,733.0
13423,2031-01-01,Elec_CAP[GwH],-248.0,9006.0,485.0
13424,2031-02-01,Elec_CAP[GwH],-142.0,8909.0,343.0
13425,2031-03-01,Elec_CAP[GwH],-3.0,8945.0,340.0
13426,2031-04-01,Elec_CAP[GwH],-2.0,8957.0,338.0
13427,2031-05-01,Elec_CAP[GwH],3.0,9000.0,341.0
13428,2031-09-01,Elec_CAP[GwH],-8.0,9706.0,333.0
13429,2031-10-01,Elec_CAP[GwH],-1.0,10020.0,332.0
13430,2031-11-01,Elec_CAP[GwH],40.0,10152.0,372.0
13431,2031-12-01,Elec_CAP[GwH],28.0,10305.0,400.0
13432,2032-02-01,Elec_CAP[GwH],-96.0,10302.0,304.0
13433,2032-03-01,Elec_CAP[GwH],-98.0,9390.0,206.0
13434,2032-04-01,Elec_CAP[GwH],-104.0,8419.0,102.0
13435,2032-05-01,Elec_CAP[GwH],-106.0,7732.0,-4.0
13436,2032-09-01,Elec_CAP[GwH],5.0,8945.0,1.0
13437,2032-10-01,Elec_CAP[GwH],3.0,9529.0,4.0
13438,2032-12-01,Elec_CAP[GwH],1.0,10046.0,5.0
13439,2033-12-01,Elec_CAP[GwH],1.0,14366.0,6.0
13440,2034-02-01,Elec_CAP[GwH],-1.0,14855.0,5.0
13441,2034-03-01,Elec_CAP[GwH],2.0,15112.0,7.0
13442,2034-12-01,Elec_CAP[GwH],2.0,20792.0,9.0
13443,2035-02-01,Elec_CAP[GwH],269.0,21969.0,278.0
13444,2035-03-01,Elec_CAP[GwH],102.0,22197.0,380.0
13445,2035-04-01,Elec_CAP[GwH],172.0,22517.0,552.0
13446,2035-10-01,Elec_CAP[GwH],-1.0,27311.0,551.0
