,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2025-07-01,GW_storage_AZ_APS_E_GW[AF],-34.0,59233291.0,-34.0
1,2025-08-01,GW_storage_AZ_APS_E_GW[AF],-561.0,60752330.0,-595.0
2,2025-09-01,GW_storage_AZ_APS_E_GW[AF],-546.0,63291561.0,-1141.0
3,2025-10-01,GW_storage_AZ_APS_E_GW[AF],-535.0,66117192.0,-1676.0
4,2025-11-01,GW_storage_AZ_APS_E_GW[AF],-525.0,69169207.0,-2201.0
5,2025-12-01,GW_storage_AZ_APS_E_GW[AF],-515.0,72377661.0,-2716.0
6,2026-01-01,GW_storage_AZ_APS_E_GW[AF],-504.0,75644729.0,-3220.0
7,2026-02-01,GW_storage_AZ_APS_E_GW[AF],-496.0,83025589.0,-3716.0
8,2026-03-01,GW_storage_AZ_APS_E_GW[AF],-486.0,93674924.0,-4202.0
9,2026-04-01,GW_storage_AZ_APS_E_GW[AF],-477.0,112497734.0,-4679.0
10,2026-05-01,GW_storage_AZ_APS_E_GW[AF],-468.0,136460613.0,-5147.0
11,2026-06-01,GW_storage_AZ_APS_E_GW[AF],-459.0,160180041.0,-5606.0
12,2026-07-01,GW_storage_AZ_APS_E_GW[AF],-451.0,184580314.0,-6057.0
13,2026-08-01,GW_storage_AZ_APS_E_GW[AF],-442.0,208538131.0,-6499.0
14,2026-09-01,GW_storage_AZ_APS_E_GW[AF],-433.0,232132273.0,-6932.0
15,2026-10-01,GW_storage_AZ_APS_E_GW[AF],-425.0,255250646.0,-7357.0
16,2026-11-01,GW_storage_AZ_APS_E_GW[AF],-417.0,277908394.0,-7774.0
17,2026-12-01,GW_storage_AZ_APS_E_GW[AF],-409.0,300103214.0,-8183.0
18,2027-01-01,GW_storage_AZ_APS_E_GW[AF],-401.0,321847786.0,-8584.0
19,2027-02-01,GW_storage_AZ_APS_E_GW[AF],-394.0,343199646.0,-8978.0
20,2027-03-01,GW_storage_AZ_APS_E_GW[AF],-386.0,369620421.0,-9364.0
21,2027-04-01,GW_storage_AZ_APS_E_GW[AF],-379.0,409179141.0,-9743.0
22,2027-05-01,GW_storage_AZ_APS_E_GW[AF],-371.0,455970259.0,-10114.0
23,2027-06-01,GW_storage_AZ_APS_E_GW[AF],-364.0,506103237.0,-10478.0
24,2027-07-01,GW_storage_AZ_APS_E_GW[AF],-358.0,558027240.0,-10836.0
25,2027-08-01,GW_storage_AZ_APS_E_GW[AF],-351.0,610747556.0,-11187.0
26,2027-09-01,GW_storage_AZ_APS_E_GW[AF],-344.0,662576568.0,-11531.0
27,2027-10-01,GW_storage_AZ_APS_E_GW[AF],-338.0,713531026.0,-11869.0
28,2027-11-01,GW_storage_AZ_APS_E_GW[AF],-331.0,763602436.0,-12200.0
29,2027-12-01,GW_storage_AZ_APS_E_GW[AF],-325.0,812846873.0,-12525.0
30,2028-01-01,GW_storage_AZ_APS_E_GW[AF],-318.0,861121911.0,-12843.0
31,2028-02-01,GW_storage_AZ_APS_E_GW[AF],-312.0,908650771.0,-13155.0
32,2028-03-01,GW_storage_AZ_APS_E_GW[AF],-307.0,959000163.0,-13462.0
33,2028-04-01,GW_storage_AZ_APS_E_GW[AF],-301.0,1012039411.0,-13763.0
