,Date,Location,Reduction_in_hydropower_generation,Running_total,Location_running_total
0,2036-10-01,Hydro_Albeni Falls[GwH],-1.0,-3426.0,-1.0
1,2036-12-01,Hydro_Albeni Falls[GwH],-1.0,-3667.0,-2.0
2,2037-01-01,Hydro_Albeni Falls[GwH],-1.0,-3667.0,-3.0
3,2037-02-01,Hydro_Albeni Falls[GwH],-1.0,-3838.0,-4.0
4,2037-03-01,Hydro_Albeni Falls[GwH],-2.0,-3910.0,-6.0
5,2037-04-01,Hydro_Albeni Falls[GwH],-3.0,-4054.0,-9.0
6,2037-05-01,Hydro_Albeni Falls[GwH],-4.0,-4304.0,-13.0
7,2037-06-01,Hydro_Albeni Falls[GwH],-4.0,-5074.0,-17.0
8,2037-07-01,Hydro_Albeni Falls[GwH],-3.0,-5849.0,-20.0
9,2037-08-01,Hydro_Albeni Falls[GwH],-3.0,-6563.0,-23.0
10,2037-09-01,Hydro_Albeni Falls[GwH],-2.0,-6938.0,-25.0
11,2037-10-01,Hydro_Albeni Falls[GwH],-1.0,-7065.0,-26.0
12,2037-11-01,Hydro_Albeni Falls[GwH],-1.0,-7261.0,-27.0
13,2037-12-01,Hydro_Albeni Falls[GwH],-1.0,-7713.0,-28.0
14,2038-01-01,Hydro_Albeni Falls[GwH],-1.0,-8144.0,-29.0
15,2038-02-01,Hydro_Albeni Falls[GwH],-1.0,-8418.0,-30.0
16,2038-03-01,Hydro_Albeni Falls[GwH],-1.0,-9152.0,-31.0
17,2038-04-01,Hydro_Albeni Falls[GwH],-1.0,-9401.0,-32.0
18,2038-05-01,Hydro_Albeni Falls[GwH],-2.0,-10387.0,-34.0
19,2038-06-01,Hydro_Albeni Falls[GwH],-1.0,-10346.0,-35.0
20,2038-07-01,Hydro_Albeni Falls[GwH],-1.0,-10599.0,-36.0
21,2042-12-01,Hydro_Albeni Falls[GwH],-1.0,-17209.0,-37.0
22,2043-01-01,Hydro_Albeni Falls[GwH],-1.0,-16876.0,-38.0
23,2043-02-01,Hydro_Albeni Falls[GwH],-1.0,-16711.0,-39.0
24,2043-03-01,Hydro_Albeni Falls[GwH],-2.0,-16607.0,-41.0
25,2043-04-01,Hydro_Albeni Falls[GwH],-3.0,-16631.0,-44.0
26,2043-05-01,Hydro_Albeni Falls[GwH],-2.0,-16771.0,-46.0
27,2043-07-01,Hydro_Albeni Falls[GwH],1.0,-17083.0,-45.0
28,2043-08-01,Hydro_Albeni Falls[GwH],2.0,-17289.0,-43.0
29,2043-09-01,Hydro_Albeni Falls[GwH],2.0,-17300.0,-41.0
30,2043-10-01,Hydro_Albeni Falls[GwH],2.0,-17278.0,-39.0
31,2043-11-01,Hydro_Albeni Falls[GwH],2.0,-17302.0,-37.0
32,2043-12-01,Hydro_Albeni Falls[GwH],3.0,-17311.0,-34.0
33,2044-01-01,Hydro_Albeni Falls[GwH],4.0,-17115.0,-30.0
34,2044-02-01,Hydro_Albeni Falls[GwH],4.0,-17004.0,-26.0
35,2044-03-01,Hydro_Albeni Falls[GwH],4.0,-16655.0,-22.0
36,2044-04-01,Hydro_Albeni Falls[GwH],5.0,-16601.0,-17.0
37,2044-05-01,Hydro_Albeni Falls[GwH],7.0,-16463.0,-10.0
38,2044-06-01,Hydro_Albeni Falls[GwH],6.0,-16489.0,-4.0
39,2044-07-01,Hydro_Albeni Falls[GwH],4.0,-16396.0,0.0
40,2044-08-01,Hydro_Albeni Falls[GwH],2.0,-16299.0,2.0
41,2044-09-01,Hydro_Albeni Falls[GwH],1.0,-16233.0,3.0
42,2046-05-01,Hydro_Albeni Falls[GwH],1.0,-15395.0,4.0
43,2050-03-01,Hydro_Albeni Falls[GwH],-1.0,-13761.0,3.0
44,2050-04-01,Hydro_Albeni Falls[GwH],-2.0,-14941.0,1.0
45,2050-05-01,Hydro_Albeni Falls[GwH],-1.0,-14881.0,0.0
46,2050-06-01,Hydro_Albeni Falls[GwH],-1.0,-15009.0,-1.0
47,2050-07-01,Hydro_Albeni Falls[GwH],-1.0,-15012.0,-2.0
48,2052-03-01,Hydro_Albeni Falls[GwH],-1.0,-16270.0,-3.0
49,2052-04-01,Hydro_Albeni Falls[GwH],-1.0,-16357.0,-4.0
50,2052-05-01,Hydro_Albeni Falls[GwH],-2.0,-17300.0,-6.0
51,2052-06-01,Hydro_Albeni Falls[GwH],-3.0,-18072.0,-9.0
52,2052-07-01,Hydro_Albeni Falls[GwH],-2.0,-18698.0,-11.0
53,2052-08-01,Hydro_Albeni Falls[GwH],-2.0,-19234.0,-13.0
54,2052-09-01,Hydro_Albeni Falls[GwH],-1.0,-19484.0,-14.0
55,2052-10-01,Hydro_Albeni Falls[GwH],-1.0,-19591.0,-15.0
56,2052-11-01,Hydro_Albeni Falls[GwH],-1.0,-19917.0,-16.0
57,2052-12-01,Hydro_Albeni Falls[GwH],-2.0,-20058.0,-18.0
58,2053-01-01,Hydro_Albeni Falls[GwH],-2.0,-20702.0,-20.0
59,2053-02-01,Hydro_Albeni Falls[GwH],-1.0,-20798.0,-21.0
60,2053-03-01,Hydro_Albeni Falls[GwH],-2.0,-21040.0,-23.0
61,2053-04-01,Hydro_Albeni Falls[GwH],-2.0,-21445.0,-25.0
62,2053-05-01,Hydro_Albeni Falls[GwH],-3.0,-21440.0,-28.0
63,2053-06-01,Hydro_Albeni Falls[GwH],-2.0,-21580.0,-30.0
64,2053-07-01,Hydro_Albeni Falls[GwH],-2.0,-21953.0,-32.0
65,2053-08-01,Hydro_Albeni Falls[GwH],-2.0,-22332.0,-34.0
66,2053-09-01,Hydro_Albeni Falls[GwH],-1.0,-22528.0,-35.0
67,2053-10-01,Hydro_Albeni Falls[GwH],-1.0,-22398.0,-36.0
68,2053-12-01,Hydro_Albeni Falls[GwH],-1.0,-22617.0,-37.0
69,2054-01-01,Hydro_Albeni Falls[GwH],-1.0,-23097.0,-38.0
70,2054-02-01,Hydro_Albeni Falls[GwH],-1.0,-23440.0,-39.0
71,2054-03-01,Hydro_Albeni Falls[GwH],-1.0,-23425.0,-40.0
72,2054-04-01,Hydro_Albeni Falls[GwH],-2.0,-23695.0,-42.0
73,2054-05-01,Hydro_Albeni Falls[GwH],-2.0,-23946.0,-44.0
74,2054-06-01,Hydro_Albeni Falls[GwH],-2.0,-24173.0,-46.0
75,2054-07-01,Hydro_Albeni Falls[GwH],-2.0,-24483.0,-48.0
76,2054-08-01,Hydro_Albeni Falls[GwH],-1.0,-24613.0,-49.0
77,2057-01-01,Hydro_Albeni Falls[GwH],-1.0,-28642.0,-50.0
78,2057-02-01,Hydro_Albeni Falls[GwH],-1.0,-29499.0,-51.0
79,2057-03-01,Hydro_Albeni Falls[GwH],-1.0,-30007.0,-52.0
80,2057-04-01,Hydro_Albeni Falls[GwH],-1.0,-30537.0,-53.0
81,2057-05-01,Hydro_Albeni Falls[GwH],-2.0,-30489.0,-55.0
82,2057-06-01,Hydro_Albeni Falls[GwH],-1.0,-30732.0,-56.0
83,2057-07-01,Hydro_Albeni Falls[GwH],-1.0,-30937.0,-57.0
84,2059-03-01,Hydro_Albeni Falls[GwH],-2.0,-32975.0,-59.0
85,2059-04-01,Hydro_Albeni Falls[GwH],-1.0,-32431.0,-60.0
86,2059-05-01,Hydro_Albeni Falls[GwH],-1.0,-32460.0,-61.0
87,2059-06-01,Hydro_Albeni Falls[GwH],-1.0,-32547.0,-62.0
88,2063-03-01,Hydro_Albeni Falls[GwH],-1.0,-34600.0,-63.0
89,2063-04-01,Hydro_Albeni Falls[GwH],-1.0,-35676.0,-64.0
90,2063-05-01,Hydro_Albeni Falls[GwH],-1.0,-34602.0,-65.0
91,2063-06-01,Hydro_Albeni Falls[GwH],-2.0,-34516.0,-67.0
92,2063-07-01,Hydro_Albeni Falls[GwH],-1.0,-34552.0,-68.0
93,2063-08-01,Hydro_Albeni Falls[GwH],-1.0,-34727.0,-69.0
94,2064-01-01,Hydro_Albeni Falls[GwH],-1.0,-35378.0,-70.0
95,2064-02-01,Hydro_Albeni Falls[GwH],-1.0,-35294.0,-71.0
96,2064-03-01,Hydro_Albeni Falls[GwH],-1.0,-36334.0,-72.0
97,2064-04-01,Hydro_Albeni Falls[GwH],-1.0,-36692.0,-73.0
98,2064-05-01,Hydro_Albeni Falls[GwH],-1.0,-36485.0,-74.0
99,2064-06-01,Hydro_Albeni Falls[GwH],-1.0,-36446.0,-75.0
100,2064-07-01,Hydro_Albeni Falls[GwH],-1.0,-36461.0,-76.0
101,2066-03-01,Hydro_Albeni Falls[GwH],1.0,-39037.0,-75.0
102,2066-04-01,Hydro_Albeni Falls[GwH],2.0,-37803.0,-73.0
103,2066-05-01,Hydro_Albeni Falls[GwH],2.0,-37492.0,-71.0
104,2066-06-01,Hydro_Albeni Falls[GwH],1.0,-37383.0,-70.0
105,2066-07-01,Hydro_Albeni Falls[GwH],1.0,-37406.0,-69.0
106,2067-05-01,Hydro_Albeni Falls[GwH],-1.0,-38905.0,-70.0
107,2067-06-01,Hydro_Albeni Falls[GwH],-1.0,-39692.0,-71.0
108,2067-07-01,Hydro_Albeni Falls[GwH],-1.0,-40291.0,-72.0
109,2067-08-01,Hydro_Albeni Falls[GwH],-1.0,-40767.0,-73.0
110,2068-03-01,Hydro_Albeni Falls[GwH],-1.0,-43823.0,-74.0
111,2068-04-01,Hydro_Albeni Falls[GwH],-1.0,-43985.0,-75.0
112,2068-05-01,Hydro_Albeni Falls[GwH],-2.0,-43660.0,-77.0
