,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2064-11-01,Unmet_Dem_IN_CA_IID[AF],12316.0,283248.0,12316.0
1,2065-11-01,Unmet_Dem_IN_CA_IID[AF],12439.0,412206.0,24755.0
2,2034-05-01,Unmet_Dem_IN_CA_LADWP[AF],-107.0,219242.0,-107.0
3,2036-05-01,Unmet_Dem_IN_CA_LADWP[AF],27.0,31705.0,-80.0
4,2036-06-01,Unmet_Dem_IN_CA_LADWP[AF],134.0,46851.0,54.0
5,2037-05-01,Unmet_Dem_IN_CA_LADWP[AF],55.0,108951.0,109.0
6,2044-05-01,Unmet_Dem_IN_CA_LADWP[AF],65.0,148997.0,174.0
7,2061-12-01,Unmet_Dem_IN_CA_LADWP[AF],-6.0,417995.0,168.0
8,2062-12-01,Unmet_Dem_IN_CA_LADWP[AF],-2066.0,316209.0,-1898.0
9,2063-12-01,Unmet_Dem_IN_CA_LADWP[AF],-1723.0,268739.0,-3621.0
10,2064-12-01,Unmet_Dem_IN_CA_LADWP[AF],-2088.0,204550.0,-5709.0
11,2066-06-01,Unmet_Dem_IN_CA_LADWP[AF],165.0,533411.0,-5544.0
12,2067-04-01,Unmet_Dem_IN_CA_LADWP[AF],94.0,772920.0,-5450.0
13,2067-05-01,Unmet_Dem_IN_CA_LADWP[AF],7.0,795404.0,-5443.0
14,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],8.0,818761.0,-5435.0
15,2067-10-01,Unmet_Dem_IN_CA_LADWP[AF],1050.0,921764.0,-4385.0
16,2067-11-01,Unmet_Dem_IN_CA_LADWP[AF],1011.0,942088.0,-3374.0
17,2068-11-01,Unmet_Dem_IN_CA_LADWP[AF],-14831.0,811702.0,-18205.0
18,2068-12-01,Unmet_Dem_IN_CA_LADWP[AF],-905.0,828903.0,-19110.0
19,2070-06-01,Unmet_Dem_IN_CA_LADWP[AF],1180.0,1220342.0,-17930.0
20,2021-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7.0,-27.0,-7.0
21,2021-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-803.0,-2955.0,-810.0
22,2021-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-283.0,-3986.0,-1093.0
23,2021-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2359.0,4617.0,1266.0
24,2023-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],8.0,4763.0,1274.0
25,2023-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1616.0,10810.0,2890.0
26,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-8.0,14205.0,2882.0
27,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],15.0,14215.0,2897.0
28,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7.0,14219.0,2904.0
29,2025-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10654.0,52096.0,13558.0
30,2025-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4479.0,85021.0,18037.0
31,2025-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2316.0,92962.0,20353.0
32,2025-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1515.0,97964.0,21868.0
33,2029-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3776.0,168831.0,25644.0
34,2029-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1900.0,177886.0,27544.0
35,2029-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1692.0,189162.0,29236.0
36,2029-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2020.0,206671.0,27216.0
37,2029-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2398.0,224251.0,24818.0
38,2029-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2777.0,221591.0,22041.0
39,2030-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],24.0,221990.0,22065.0
40,2030-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],421.0,231169.0,22486.0
41,2030-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-870.0,237293.0,21616.0
42,2030-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2620.0,254310.0,18996.0
43,2030-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],8292.0,279878.0,27288.0
44,2034-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],800.0,240741.0,28088.0
45,2034-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],842.0,261427.0,28930.0
