,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2025-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-15.0,21642.0,-15.0
1,2025-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],44.0,36615.0,29.0
2,2025-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,42979.0,44.0
3,2025-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,45351.0,49.0
4,2025-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,46078.0,51.0
5,2064-11-01,Unmet_Dem_OUT_CA_IID[AF],158.0,69639.0,158.0
6,2064-12-01,Unmet_Dem_OUT_CA_IID[AF],117.0,69767.0,275.0
7,2065-11-01,Unmet_Dem_OUT_CA_IID[AF],182.0,106283.0,457.0
8,2065-12-01,Unmet_Dem_OUT_CA_IID[AF],135.0,106413.0,592.0
9,2034-05-01,Unmet_Dem_OUT_CA_LADWP[AF],-24.0,88995.0,-24.0
10,2036-05-01,Unmet_Dem_OUT_CA_LADWP[AF],6.0,29715.0,-18.0
11,2036-06-01,Unmet_Dem_OUT_CA_LADWP[AF],36.0,27744.0,18.0
12,2037-05-01,Unmet_Dem_OUT_CA_LADWP[AF],9.0,46927.0,27.0
13,2044-05-01,Unmet_Dem_OUT_CA_LADWP[AF],13.0,15205.0,40.0
14,2066-06-01,Unmet_Dem_OUT_CA_LADWP[AF],33.0,132603.0,73.0
15,2067-04-01,Unmet_Dem_OUT_CA_LADWP[AF],4.0,181101.0,77.0
16,2067-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1.0,185433.0,78.0
17,2067-10-01,Unmet_Dem_OUT_CA_LADWP[AF],136.0,228616.0,214.0
18,2068-11-01,Unmet_Dem_OUT_CA_LADWP[AF],-1396.0,225291.0,-1182.0
19,2068-12-01,Unmet_Dem_OUT_CA_LADWP[AF],-186.0,222127.0,-1368.0
20,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],239.0,296891.0,-1129.0
21,2021-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-123.0,-8036.0,-123.0
22,2021-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-71.0,2234.0,-194.0
23,2023-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2039.0,22789.0,-2233.0
24,2024-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1.0,22572.0,-2234.0
25,2024-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1.0,22566.0,-2233.0
26,2025-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2774.0,36615.0,541.0
27,2025-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1053.0,42979.0,1594.0
28,2029-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],602.0,69903.0,2196.0
29,2029-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],538.0,72939.0,2734.0
