,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4101.0,6098.0,-4101.0
1,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2864.0,4431.0,-6965.0
2,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2408.0,2824.0,-9373.0
3,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2024.0,954.0,-11397.0
4,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1639.0,-651.0,-13036.0
5,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1231.0,-2405.0,-14267.0
6,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-874.0,-3932.0,-15141.0
7,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-541.0,-4140.0,-15682.0
8,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-314.0,-7312.0,-15996.0
9,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-171.0,-8092.0,-16167.0
10,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-99.0,-4961.0,-16266.0
11,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-65.0,-1755.0,-16331.0
12,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-46.0,-1441.0,-16377.0
13,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-37.0,-40.0,-16414.0
14,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-31.0,2948.0,-16445.0
15,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-26.0,1886.0,-16471.0
16,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-21.0,143.0,-16492.0
17,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-16.0,-954.0,-16508.0
