,Date,Location,Reduction_in_electricity_demand,Running_total,Location_running_total
9829,2021-11-01,Elec_CAP[GwH],10.0,37.0,10.0
9830,2021-12-01,Elec_CAP[GwH],-4.0,31.0,6.0
9831,2022-07-01,Elec_CAP[GwH],11.0,42.0,17.0
9832,2022-08-01,Elec_CAP[GwH],9.0,52.0,26.0
9833,2022-11-01,Elec_CAP[GwH],2.0,66.0,28.0
9834,2023-01-01,Elec_CAP[GwH],-14.0,57.0,14.0
9835,2023-02-01,Elec_CAP[GwH],12.0,70.0,26.0
9836,2023-05-01,Elec_CAP[GwH],-6.0,60.0,20.0
9837,2023-10-01,Elec_CAP[GwH],-1.0,-32.0,19.0
9838,2023-11-01,Elec_CAP[GwH],2.0,-39.0,21.0
9839,2024-06-01,Elec_CAP[GwH],1.0,-28.0,22.0
9840,2024-07-01,Elec_CAP[GwH],4.0,-34.0,26.0
9841,2024-08-01,Elec_CAP[GwH],-15.0,-23.0,11.0
9842,2024-09-01,Elec_CAP[GwH],1.0,-21.0,12.0
9843,2024-12-01,Elec_CAP[GwH],2.0,-6.0,14.0
9844,2025-01-01,Elec_CAP[GwH],-4.0,-9.0,10.0
9845,2025-09-01,Elec_CAP[GwH],-491.0,295.0,-481.0
9846,2025-10-01,Elec_CAP[GwH],-252.0,545.0,-733.0
9847,2025-11-01,Elec_CAP[GwH],-310.0,282.0,-1043.0
9848,2025-12-01,Elec_CAP[GwH],-168.0,169.0,-1211.0
9849,2026-01-01,Elec_CAP[GwH],-322.0,-88.0,-1533.0
9850,2026-02-01,Elec_CAP[GwH],-87.0,-3.0,-1620.0
9851,2026-03-01,Elec_CAP[GwH],-149.0,-102.0,-1769.0
9852,2026-04-01,Elec_CAP[GwH],214.0,144.0,-1555.0
9853,2026-05-01,Elec_CAP[GwH],19.0,219.0,-1536.0
9854,2026-10-01,Elec_CAP[GwH],11.0,458.0,-1525.0
9855,2026-11-01,Elec_CAP[GwH],2.0,485.0,-1523.0
9856,2026-12-01,Elec_CAP[GwH],1.0,504.0,-1522.0
9857,2027-01-01,Elec_CAP[GwH],17.0,517.0,-1505.0
9858,2027-02-01,Elec_CAP[GwH],9.0,506.0,-1496.0
9859,2027-04-01,Elec_CAP[GwH],2.0,500.0,-1494.0
9860,2027-05-01,Elec_CAP[GwH],99.0,557.0,-1395.0
9861,2027-06-01,Elec_CAP[GwH],12.0,571.0,-1383.0
9862,2027-09-01,Elec_CAP[GwH],31.0,673.0,-1352.0
9863,2027-10-01,Elec_CAP[GwH],21.0,725.0,-1331.0
9864,2027-12-01,Elec_CAP[GwH],7.0,765.0,-1324.0
9865,2028-01-01,Elec_CAP[GwH],14.0,795.0,-1310.0
9866,2028-02-01,Elec_CAP[GwH],14.0,809.0,-1296.0
9867,2028-03-01,Elec_CAP[GwH],1.0,811.0,-1295.0
9868,2028-04-01,Elec_CAP[GwH],17.0,837.0,-1278.0
9869,2028-05-01,Elec_CAP[GwH],17.0,862.0,-1261.0
9870,2028-12-01,Elec_CAP[GwH],10.0,963.0,-1251.0
9871,2029-01-01,Elec_CAP[GwH],5.0,1007.0,-1246.0
9872,2029-02-01,Elec_CAP[GwH],-4.0,1016.0,-1250.0
9873,2029-03-01,Elec_CAP[GwH],-5.0,1039.0,-1255.0
9874,2029-04-01,Elec_CAP[GwH],-3.0,1077.0,-1258.0
9875,2029-05-01,Elec_CAP[GwH],-6.0,1082.0,-1264.0
9876,2029-10-01,Elec_CAP[GwH],41.0,1102.0,-1223.0
9877,2029-12-01,Elec_CAP[GwH],4.0,1042.0,-1219.0
9878,2030-01-01,Elec_CAP[GwH],8.0,1054.0,-1211.0
9879,2030-04-01,Elec_CAP[GwH],1.0,1070.0,-1210.0
9880,2030-05-01,Elec_CAP[GwH],10.0,1094.0,-1200.0
9881,2030-06-01,Elec_CAP[GwH],387.0,1503.0,-813.0
9882,2030-07-01,Elec_CAP[GwH],312.0,1827.0,-501.0
9883,2030-08-01,Elec_CAP[GwH],387.0,2216.0,-114.0
9884,2030-09-01,Elec_CAP[GwH],410.0,2685.0,296.0
9885,2030-10-01,Elec_CAP[GwH],77.0,2710.0,373.0
9886,2030-11-01,Elec_CAP[GwH],173.0,2868.0,546.0
9887,2030-12-01,Elec_CAP[GwH],204.0,3119.0,750.0
9888,2031-01-01,Elec_CAP[GwH],-240.0,2868.0,510.0
9889,2031-02-01,Elec_CAP[GwH],-136.0,2707.0,374.0
9890,2031-03-01,Elec_CAP[GwH],-2.0,2668.0,372.0
9891,2031-04-01,Elec_CAP[GwH],-2.0,2666.0,370.0
9892,2031-05-01,Elec_CAP[GwH],3.0,2675.0,373.0
9893,2031-09-01,Elec_CAP[GwH],-7.0,2752.0,366.0
9894,2031-10-01,Elec_CAP[GwH],-1.0,2784.0,365.0
9895,2032-02-01,Elec_CAP[GwH],-96.0,2773.0,269.0
9896,2032-03-01,Elec_CAP[GwH],-97.0,2688.0,172.0
9897,2032-04-01,Elec_CAP[GwH],-103.0,2598.0,69.0
9898,2032-05-01,Elec_CAP[GwH],-105.0,2504.0,-36.0
9899,2032-09-01,Elec_CAP[GwH],12.0,2598.0,-24.0
9900,2032-10-01,Elec_CAP[GwH],7.0,2679.0,-17.0
9901,2032-12-01,Elec_CAP[GwH],-139.0,2659.0,-156.0
9902,2033-01-01,Elec_CAP[GwH],3.0,2679.0,-153.0
9903,2033-02-01,Elec_CAP[GwH],7.0,2681.0,-146.0
9904,2033-06-01,Elec_CAP[GwH],-1.0,2737.0,-147.0
9905,2033-12-01,Elec_CAP[GwH],-1.0,3067.0,-148.0
9906,2034-04-01,Elec_CAP[GwH],-4.0,3223.0,-152.0
9907,2034-11-01,Elec_CAP[GwH],2.0,3203.0,-150.0
9908,2034-12-01,Elec_CAP[GwH],3.0,3151.0,-147.0
9909,2035-01-01,Elec_CAP[GwH],2.0,3172.0,-145.0
9910,2035-02-01,Elec_CAP[GwH],269.0,3420.0,124.0
9911,2035-03-01,Elec_CAP[GwH],103.0,3513.0,227.0
9912,2035-04-01,Elec_CAP[GwH],172.0,3667.0,399.0
9913,2035-10-01,Elec_CAP[GwH],-1.0,3783.0,398.0
9914,2036-01-01,Elec_CAP[GwH],3.0,3875.0,401.0
9915,2036-02-01,Elec_CAP[GwH],1.0,3852.0,402.0
9916,2036-04-01,Elec_CAP[GwH],20.0,3908.0,422.0
9917,2036-05-01,Elec_CAP[GwH],1.0,3917.0,423.0
9918,2036-06-01,Elec_CAP[GwH],-32.0,3896.0,391.0
9919,2036-09-01,Elec_CAP[GwH],24.0,3925.0,415.0
9920,2036-10-01,Elec_CAP[GwH],-7.0,3916.0,408.0
9921,2036-12-01,Elec_CAP[GwH],2.0,3927.0,410.0
9922,2037-01-01,Elec_CAP[GwH],-12.0,3876.0,398.0
9923,2037-04-01,Elec_CAP[GwH],-2.0,3956.0,396.0
9924,2037-05-01,Elec_CAP[GwH],-2.0,3961.0,394.0
9925,2037-06-01,Elec_CAP[GwH],-6.0,3957.0,388.0
9926,2037-07-01,Elec_CAP[GwH],-11.0,3904.0,377.0
9927,2037-08-01,Elec_CAP[GwH],2.0,3879.0,379.0
9928,2037-09-01,Elec_CAP[GwH],-5.0,3879.0,374.0
9929,2037-10-01,Elec_CAP[GwH],-3.0,3878.0,371.0
9930,2037-12-01,Elec_CAP[GwH],1.0,3832.0,372.0
9931,2038-01-01,Elec_CAP[GwH],-2.0,3872.0,370.0
9932,2038-03-01,Elec_CAP[GwH],4.0,3887.0,374.0
9933,2038-04-01,Elec_CAP[GwH],-3.0,3888.0,371.0
9934,2038-05-01,Elec_CAP[GwH],-11.0,3890.0,360.0
9935,2038-06-01,Elec_CAP[GwH],-4.0,3886.0,356.0
9936,2038-07-01,Elec_CAP[GwH],-6.0,3865.0,350.0
9937,2038-09-01,Elec_CAP[GwH],2.0,3987.0,352.0
9938,2038-10-01,Elec_CAP[GwH],-6.0,4114.0,346.0
9939,2039-01-01,Elec_CAP[GwH],-2.0,4203.0,344.0
9940,2039-03-01,Elec_CAP[GwH],-3.0,4240.0,341.0
9941,2039-04-01,Elec_CAP[GwH],-1.0,4260.0,340.0
9942,2039-05-01,Elec_CAP[GwH],-3.0,4297.0,337.0
9943,2039-06-01,Elec_CAP[GwH],-332.0,3923.0,5.0
9944,2039-07-01,Elec_CAP[GwH],-288.0,3600.0,-283.0
9945,2039-12-01,Elec_CAP[GwH],186.0,4050.0,-97.0
9946,2040-01-01,Elec_CAP[GwH],110.0,4189.0,13.0
9947,2040-04-01,Elec_CAP[GwH],8.0,4312.0,21.0
9948,2040-05-01,Elec_CAP[GwH],74.0,4407.0,95.0
9949,2040-10-01,Elec_CAP[GwH],-2.0,4702.0,93.0
9950,2041-02-01,Elec_CAP[GwH],2.0,4744.0,95.0
9951,2041-05-01,Elec_CAP[GwH],4.0,4777.0,99.0
9952,2041-06-01,Elec_CAP[GwH],1.0,4768.0,100.0
9953,2041-07-01,Elec_CAP[GwH],-2.0,4761.0,98.0
9954,2041-08-01,Elec_CAP[GwH],-7.0,4811.0,91.0
9955,2041-09-01,Elec_CAP[GwH],-546.0,4304.0,-455.0
9956,2041-11-01,Elec_CAP[GwH],203.0,4679.0,-252.0
9957,2041-12-01,Elec_CAP[GwH],262.0,4988.0,10.0
9958,2042-01-01,Elec_CAP[GwH],52.0,5061.0,62.0
9959,2042-03-01,Elec_CAP[GwH],1.0,5133.0,63.0
9960,2042-05-01,Elec_CAP[GwH],9.0,5165.0,72.0
9961,2042-12-01,Elec_CAP[GwH],8.0,5612.0,80.0
9962,2043-01-01,Elec_CAP[GwH],3.0,5633.0,83.0
9963,2043-03-01,Elec_CAP[GwH],3.0,5718.0,86.0
9964,2043-04-01,Elec_CAP[GwH],-3.0,5781.0,83.0
9965,2043-05-01,Elec_CAP[GwH],-2.0,5776.0,81.0
9966,2043-06-01,Elec_CAP[GwH],-1.0,5635.0,80.0
9967,2043-07-01,Elec_CAP[GwH],-1.0,5661.0,79.0
9968,2043-09-01,Elec_CAP[GwH],2.0,5670.0,81.0
9969,2043-10-01,Elec_CAP[GwH],-3.0,5719.0,78.0
9970,2044-01-01,Elec_CAP[GwH],-5.0,5657.0,73.0
9971,2044-05-01,Elec_CAP[GwH],1.0,5793.0,74.0
9972,2044-06-01,Elec_CAP[GwH],-3.0,5782.0,71.0
9973,2044-07-01,Elec_CAP[GwH],-3.0,5792.0,68.0
9974,2044-08-01,Elec_CAP[GwH],-1.0,5684.0,67.0
9975,2044-10-01,Elec_CAP[GwH],-2.0,5699.0,65.0
9976,2044-11-01,Elec_CAP[GwH],-5.0,5642.0,60.0
9977,2045-05-01,Elec_CAP[GwH],6.0,5670.0,66.0
9978,2045-06-01,Elec_CAP[GwH],-1.0,5706.0,65.0
9979,2045-07-01,Elec_CAP[GwH],3.0,5725.0,68.0
9980,2045-08-01,Elec_CAP[GwH],-4.0,5718.0,64.0
9981,2045-09-01,Elec_CAP[GwH],3.0,5715.0,67.0
9982,2045-10-01,Elec_CAP[GwH],-6.0,5707.0,61.0
9983,2045-11-01,Elec_CAP[GwH],-4.0,5703.0,57.0
9984,2045-12-01,Elec_CAP[GwH],-4.0,5716.0,53.0
9985,2046-01-01,Elec_CAP[GwH],1.0,5745.0,54.0
9986,2046-03-01,Elec_CAP[GwH],-2.0,5744.0,52.0
9987,2046-04-01,Elec_CAP[GwH],-2.0,5749.0,50.0
