,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2021-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,-545.0,2.0
1,2021-08-01,GW_storage_AZ_APS_E_GW[AF],2.0,3073.0,4.0
2,2021-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,8633.0,6.0
3,2021-10-01,GW_storage_AZ_APS_E_GW[AF],3.0,15349.0,9.0
4,2021-11-01,GW_storage_AZ_APS_E_GW[AF],3.0,19024.0,12.0
5,2021-12-01,GW_storage_AZ_APS_E_GW[AF],3.0,22943.0,15.0
6,2022-01-01,GW_storage_AZ_APS_E_GW[AF],3.0,26543.0,18.0
7,2022-02-01,GW_storage_AZ_APS_E_GW[AF],3.0,29846.0,21.0
8,2022-03-01,GW_storage_AZ_APS_E_GW[AF],4.0,30673.0,25.0
9,2022-04-01,GW_storage_AZ_APS_E_GW[AF],4.0,31166.0,29.0
10,2022-05-01,GW_storage_AZ_APS_E_GW[AF],6.0,32145.0,35.0
11,2022-06-01,GW_storage_AZ_APS_E_GW[AF],6.0,35094.0,41.0
12,2022-07-01,GW_storage_AZ_APS_E_GW[AF],7.0,41181.0,48.0
13,2022-08-01,GW_storage_AZ_APS_E_GW[AF],8.0,52775.0,56.0
14,2022-09-01,GW_storage_AZ_APS_E_GW[AF],7.0,67141.0,63.0
15,2022-10-01,GW_storage_AZ_APS_E_GW[AF],9.0,83876.0,72.0
16,2022-11-01,GW_storage_AZ_APS_E_GW[AF],8.0,101733.0,80.0
17,2022-12-01,GW_storage_AZ_APS_E_GW[AF],8.0,119716.0,88.0
18,2023-01-01,GW_storage_AZ_APS_E_GW[AF],8.0,134026.0,96.0
19,2023-02-01,GW_storage_AZ_APS_E_GW[AF],8.0,141693.0,104.0
20,2023-03-01,GW_storage_AZ_APS_E_GW[AF],9.0,148869.0,113.0
21,2023-04-01,GW_storage_AZ_APS_E_GW[AF],9.0,156689.0,122.0
22,2023-05-01,GW_storage_AZ_APS_E_GW[AF],11.0,167586.0,133.0
23,2023-06-01,GW_storage_AZ_APS_E_GW[AF],13.0,181472.0,146.0
24,2023-07-01,GW_storage_AZ_APS_E_GW[AF],14.0,199114.0,160.0
25,2023-08-01,GW_storage_AZ_APS_E_GW[AF],15.0,218056.0,175.0
26,2023-09-01,GW_storage_AZ_APS_E_GW[AF],17.0,239576.0,192.0
27,2023-10-01,GW_storage_AZ_APS_E_GW[AF],17.0,262815.0,209.0
28,2023-11-01,GW_storage_AZ_APS_E_GW[AF],17.0,285748.0,226.0
29,2023-12-01,GW_storage_AZ_APS_E_GW[AF],17.0,308242.0,243.0
30,2024-01-01,GW_storage_AZ_APS_E_GW[AF],17.0,330338.0,260.0
31,2024-02-01,GW_storage_AZ_APS_E_GW[AF],17.0,355309.0,277.0
32,2024-03-01,GW_storage_AZ_APS_E_GW[AF],18.0,380781.0,295.0
33,2024-04-01,GW_storage_AZ_APS_E_GW[AF],20.0,409194.0,315.0
34,2024-05-01,GW_storage_AZ_APS_E_GW[AF],22.0,440932.0,337.0
35,2024-06-01,GW_storage_AZ_APS_E_GW[AF],25.0,477908.0,362.0
36,2024-07-01,GW_storage_AZ_APS_E_GW[AF],27.0,520861.0,389.0
37,2024-08-01,GW_storage_AZ_APS_E_GW[AF],28.0,570953.0,417.0
38,2024-09-01,GW_storage_AZ_APS_E_GW[AF],30.0,627645.0,447.0
39,2024-10-01,GW_storage_AZ_APS_E_GW[AF],29.0,686067.0,476.0
40,2024-11-01,GW_storage_AZ_APS_E_GW[AF],29.0,746663.0,505.0
41,2024-12-01,GW_storage_AZ_APS_E_GW[AF],29.0,808591.0,534.0
42,2025-01-01,GW_storage_AZ_APS_E_GW[AF],29.0,867850.0,563.0
43,2025-02-01,GW_storage_AZ_APS_E_GW[AF],28.0,924138.0,591.0
