,Date,Location,Reduction_in_hydropower_generation,Running_total,Location_running_total
0,2025-11-01,Hydro_Alder[GwH],-1.0,-1292.0,-1.0
1,2026-01-01,Hydro_Alder[GwH],-2.0,-1835.0,-3.0
2,2026-02-01,Hydro_Alder[GwH],-1.0,-1983.0,-4.0
3,2026-03-01,Hydro_Alder[GwH],-1.0,-1919.0,-5.0
4,2026-04-01,Hydro_Alder[GwH],-1.0,-2195.0,-6.0
5,2026-05-01,Hydro_Alder[GwH],-2.0,-2539.0,-8.0
6,2026-06-01,Hydro_Alder[GwH],-2.0,-2835.0,-10.0
7,2025-08-01,Hydro_American Falls[GwH],-2.0,-632.0,-2.0
8,2025-09-01,Hydro_American Falls[GwH],-1.0,-852.0,-3.0
9,2025-10-01,Hydro_American Falls[GwH],-16.0,-1116.0,-19.0
10,2025-11-01,Hydro_American Falls[GwH],-14.0,-1292.0,-33.0
11,2026-01-01,Hydro_American Falls[GwH],2.0,-1835.0,-31.0
12,2026-02-01,Hydro_American Falls[GwH],2.0,-1983.0,-29.0
13,2026-03-01,Hydro_American Falls[GwH],4.0,-1919.0,-25.0
14,2026-04-01,Hydro_American Falls[GwH],5.0,-2195.0,-20.0
15,2026-05-01,Hydro_American Falls[GwH],5.0,-2539.0,-15.0
16,2026-06-01,Hydro_American Falls[GwH],5.0,-2835.0,-10.0
17,2026-07-01,Hydro_American Falls[GwH],4.0,-2835.0,-6.0
18,2026-08-01,Hydro_American Falls[GwH],5.0,-2740.0,-1.0
19,2026-09-01,Hydro_American Falls[GwH],4.0,-2677.0,3.0
20,2026-10-01,Hydro_American Falls[GwH],4.0,-2601.0,7.0
21,2026-11-01,Hydro_American Falls[GwH],3.0,-2534.0,10.0
22,2026-12-01,Hydro_American Falls[GwH],3.0,-2445.0,13.0
23,2027-01-01,Hydro_American Falls[GwH],2.0,-2354.0,15.0
24,2027-02-01,Hydro_American Falls[GwH],1.0,-2293.0,16.0
25,2025-11-01,Hydro_Anderson Ranch[GwH],2.0,-1292.0,2.0
26,2026-02-01,Hydro_Anderson Ranch[GwH],-3.0,-1983.0,-1.0
27,2030-02-01,Hydro_Balch 2[GwH],-1.0,-1206.0,-1.0
28,2055-04-01,Hydro_Balch 2[GwH],-1.0,-257.0,-2.0
29,2025-08-01,Hydro_Belden[GwH],-3.0,-632.0,-3.0
30,2027-05-01,Hydro_Big Creek 1[GwH],2.0,-2042.0,2.0
31,2030-04-01,Hydro_Big Creek 1[GwH],5.0,-1101.0,7.0
32,2063-12-01,Hydro_Big Creek 1[GwH],2.0,-134.0,9.0
33,2030-04-01,Hydro_Big Creek 2[GwH],4.0,-1101.0,4.0
34,2036-06-01,Hydro_Big Creek 2[GwH],1.0,-514.0,5.0
35,2026-04-01,Hydro_Big Creek 2a[GwH],2.0,-2195.0,2.0
36,2030-04-01,Hydro_Big Creek 2a[GwH],5.0,-1101.0,7.0
37,2036-06-01,Hydro_Big Creek 2a[GwH],2.0,-514.0,9.0
38,2048-11-01,Hydro_Big Creek 2a[GwH],5.0,-339.0,14.0
39,2048-12-01,Hydro_Big Creek 2a[GwH],-2.0,-334.0,12.0
40,2063-12-01,Hydro_Big Creek 2a[GwH],5.0,-134.0,17.0
41,2026-06-01,Hydro_Big Creek 3[GwH],1.0,-2835.0,1.0
42,2028-12-01,Hydro_Big Creek 3[GwH],-2.0,-1269.0,-1.0
43,2037-05-01,Hydro_Big Creek 3[GwH],2.0,-551.0,1.0
44,2041-09-01,Hydro_Big Creek 3[GwH],3.0,-589.0,4.0
45,2051-08-01,Hydro_Big Creek 3[GwH],4.0,-316.0,8.0
46,2066-10-01,Hydro_Big Creek 3[GwH],2.0,-90.0,10.0
47,2070-09-01,Hydro_Big Creek 3[GwH],2.0,-7.0,12.0
48,2024-02-01,Hydro_Big Creek 4[GwH],-2.0,54.0,-2.0
49,2025-04-01,Hydro_Big Creek 4[GwH],-3.0,28.0,-5.0
50,2025-05-01,Hydro_Big Creek 4[GwH],-2.0,83.0,-7.0
