,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2029-05-01,Unmet_Dem_IN_CA_LADWP[AF],1600.0,168589.0,1600.0
1,2034-05-01,Unmet_Dem_IN_CA_LADWP[AF],64.0,283249.0,1664.0
2,2036-05-01,Unmet_Dem_IN_CA_LADWP[AF],2548.0,469696.0,4212.0
3,2036-06-01,Unmet_Dem_IN_CA_LADWP[AF],2813.0,485464.0,7025.0
4,2037-05-01,Unmet_Dem_IN_CA_LADWP[AF],385.0,578537.0,7410.0
5,2044-05-01,Unmet_Dem_IN_CA_LADWP[AF],3879.0,1116409.0,11289.0
6,2061-12-01,Unmet_Dem_IN_CA_LADWP[AF],-6.0,3060709.0,11283.0
7,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],4329.0,3302224.0,15612.0
8,2066-06-01,Unmet_Dem_IN_CA_LADWP[AF],6352.0,3328804.0,21964.0
9,2067-04-01,Unmet_Dem_IN_CA_LADWP[AF],1129.0,3507734.0,23093.0
10,2067-05-01,Unmet_Dem_IN_CA_LADWP[AF],4187.0,3527079.0,27280.0
11,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],4899.0,3553263.0,32179.0
12,2067-10-01,Unmet_Dem_IN_CA_LADWP[AF],3873.0,3680153.0,36052.0
13,2067-11-01,Unmet_Dem_IN_CA_LADWP[AF],481.0,3697882.0,36533.0
14,2068-12-01,Unmet_Dem_IN_CA_LADWP[AF],1365.0,3719349.0,37898.0
15,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],4177.0,3980386.0,42075.0
16,2070-06-01,Unmet_Dem_IN_CA_LADWP[AF],6329.0,4005621.0,48404.0
17,2021-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],422.0,3553.0,422.0
18,2021-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-449.0,1919.0,-27.0
19,2021-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7.0,1893.0,-34.0
20,2021-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-55.0,1702.0,-89.0
21,2023-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1170.0,11967.0,1081.0
22,2023-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2749.0,22065.0,3830.0
23,2024-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],732.0,35702.0,4562.0
24,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],596.0,36472.0,5158.0
25,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],546.0,37027.0,5704.0
26,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7.0,37076.0,5697.0
27,2025-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10654.0,78166.0,16351.0
28,2025-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5579.0,115072.0,21930.0
29,2025-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3184.0,126219.0,25114.0
30,2025-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2024.0,133085.0,27138.0
31,2029-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3359.0,187404.0,30497.0
32,2029-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5852.0,201695.0,36349.0
33,2029-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5413.0,211217.0,41762.0
34,2029-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1087.0,220329.0,42849.0
35,2029-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],844.0,228668.0,43693.0
36,2029-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-292.0,228292.0,43401.0
37,2030-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],855.0,230677.0,44256.0
38,2030-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1506.0,250924.0,45762.0
39,2030-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],989.0,263832.0,46751.0
40,2030-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],866.0,272043.0,47617.0
41,2030-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1532.0,277788.0,49149.0
42,2034-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2157.0,296106.0,51306.0
43,2034-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1710.0,311322.0,53016.0
44,2034-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4373.0,323950.0,57389.0
45,2034-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],996.0,338243.0,58385.0
46,2034-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1222.0,352760.0,59607.0
47,2034-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],997.0,365282.0,60604.0
