,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,86.0,2.0
1,2021-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,623.0,5.0
2,2021-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,1546.0,8.0
3,2021-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,2297.0,11.0
4,2021-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-3339.0,13.0
5,2021-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-4323.0,15.0
6,2021-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-4415.0,17.0
7,2021-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-4425.0,19.0
8,2021-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,-4420.0,20.0
9,2022-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-4413.0,22.0
10,2022-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-4411.0,24.0
11,2022-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,-4408.0,27.0
12,2022-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,-4405.0,30.0
13,2022-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-4186.0,35.0
14,2022-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,-3173.0,41.0
15,2022-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-3126.0,46.0
16,2022-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-3062.0,51.0
17,2022-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-3006.0,55.0
18,2022-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-2951.0,59.0
19,2022-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,-2901.0,62.0
20,2022-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-2875.0,64.0
21,2023-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-2852.0,68.0
22,2023-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-2850.0,70.0
23,2023-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-2846.0,74.0
24,2023-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,-2660.0,80.0
25,2023-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,-822.0,87.0
26,2023-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,2206.0,96.0
27,2023-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,15710.0,105.0
28,2023-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,20081.0,113.0
29,2023-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,20692.0,120.0
30,2023-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,20162.0,126.0
31,2023-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,20231.0,130.0
32,2023-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,20256.0,134.0
33,2024-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,20272.0,138.0
34,2024-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,20275.0,141.0
35,2024-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,20282.0,148.0
36,2024-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,21161.0,157.0
37,2024-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,24043.0,168.0
38,2024-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,27095.0,180.0
39,2024-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],13.0,27201.0,193.0
40,2024-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,27519.0,204.0
41,2024-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,27909.0,215.0
42,2024-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,28250.0,221.0
43,2024-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,28381.0,227.0
44,2024-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,28474.0,232.0
45,2025-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,28538.0,236.0
46,2025-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,28578.0,238.0
47,2025-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,28585.0,245.0
48,2025-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,28597.0,257.0
49,2025-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],14.0,29717.0,271.0
50,2025-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],55.0,44833.0,326.0
51,2025-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],24.0,53691.0,350.0
52,2025-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,57588.0,366.0
53,2025-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,58800.0,377.0
54,2025-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,58905.0,385.0
55,2026-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,58911.0,391.0
56,2026-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,58918.0,398.0
57,2026-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,58927.0,407.0
58,2026-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,58938.0,418.0
59,2026-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,61531.0,433.0
60,2026-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],14.0,65438.0,447.0
61,2026-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,65402.0,463.0
62,2026-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,65466.0,478.0
63,2026-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],14.0,65600.0,492.0
64,2026-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],13.0,65725.0,505.0
65,2026-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,65824.0,513.0
66,2026-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,65831.0,520.0
67,2027-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,65839.0,528.0
68,2027-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,65843.0,532.0
69,2027-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,65848.0,537.0
70,2027-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,65856.0,545.0
71,2027-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,65871.0,560.0
72,2027-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],20.0,65891.0,580.0
73,2027-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],21.0,65912.0,601.0
74,2027-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,65963.0,617.0
75,2027-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],17.0,66073.0,634.0
76,2027-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,66190.0,650.0
77,2027-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,66358.0,661.0
78,2027-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,66373.0,669.0
79,2028-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,66381.0,677.0
80,2028-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,66389.0,685.0
81,2028-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,66400.0,696.0
82,2028-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],17.0,66417.0,713.0
83,2028-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],22.0,69321.0,735.0
84,2028-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],24.0,73438.0,759.0
85,2028-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],24.0,73471.0,783.0
86,2028-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],24.0,73675.0,807.0
87,2028-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],23.0,73814.0,830.0
88,2028-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],18.0,73840.0,848.0
89,2028-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],14.0,73854.0,862.0
90,2028-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,73871.0,874.0
91,2029-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,73883.0,886.0
92,2029-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,73895.0,898.0
93,2029-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,73911.0,914.0
94,2029-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],21.0,75710.0,935.0
95,2029-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],24.0,81888.0,959.0
96,2029-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],26.0,91008.0,985.0
97,2029-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],27.0,99444.0,1012.0
98,2029-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],25.0,105340.0,1037.0
99,2029-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],22.0,111038.0,1059.0
100,2029-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,116691.0,1075.0
101,2029-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,121222.0,1091.0
