,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,138.0,2.0
1,2011-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,2388.0,5.0
2,2011-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,1888.0,7.0
3,2012-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8.0,1972.0,15.0
4,2012-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,2408.0,19.0
5,2012-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,3304.0,21.0
6,2012-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7.0,3789.0,14.0
7,2012-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,4196.0,10.0
8,2012-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,4387.0,6.0
9,2013-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,4433.0,3.0
10,2013-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,4390.0,1.0
11,2013-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,4330.0,-1.0
12,2014-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,7868.0,1.0
13,2014-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,8507.0,4.0
14,2014-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,8061.0,7.0
15,2015-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-12243.0,9.0
16,2015-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-11641.0,11.0
17,2016-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,-11138.0,14.0
18,2016-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,-11135.0,17.0
19,2016-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,-11117.0,20.0
20,2016-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-9826.0,22.0
21,2017-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-9475.0,20.0
22,2018-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,-8952.0,12.0
23,2018-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,-9024.0,8.0
24,2018-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-9090.0,5.0
25,2018-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-9229.0,3.0
26,2018-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-9281.0,1.0
27,2019-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-10.0,-9327.0,-9.0
28,2019-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7.0,-9492.0,-16.0
29,2019-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,-9639.0,-21.0
30,2019-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,-9748.0,-25.0
31,2019-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5.0,-9568.0,-20.0
32,2019-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-9791.0,-18.0
33,2019-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-10368.0,-16.0
34,2019-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-10298.0,-14.0
35,2020-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,8897.0,-16.0
36,2020-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-225544.0,-18.0
37,2020-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-514986.0,-21.0
38,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-1085839.0,-24.0
39,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,-1316473.0,-28.0
40,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,-1481076.0,-33.0
41,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,-1602845.0,-37.0
42,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,-1664759.0,-40.0
43,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-1712106.0,-42.0
44,2023-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-1626736.0,-40.0
45,2023-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-15.0,-1610141.0,-55.0
46,2023-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-11.0,-1599396.0,-66.0
47,2024-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-10.0,-1587173.0,-76.0
48,2024-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7.0,-1589476.0,-83.0
49,2024-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,-1581218.0,-88.0
50,2024-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,-1590261.0,-92.0
51,2024-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-1397271.0,-94.0
52,2025-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],55073.0,3157106.0,54979.0
53,2025-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],35461.0,5916456.0,90440.0
54,2025-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],25009.0,6826405.0,115449.0
55,2025-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],20215.0,7430567.0,135664.0
56,2025-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17095.0,7700339.0,152759.0
57,2026-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14145.0,7891004.0,166904.0
58,2026-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],11521.0,8057391.0,178425.0
59,2026-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8396.0,8099407.0,186821.0
60,2026-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5730.0,8656568.0,192551.0
61,2026-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3544.0,9083985.0,196095.0
62,2026-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2044.0,9259686.0,198139.0
63,2026-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1125.0,9326428.0,199264.0
64,2026-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],634.0,9300274.0,199898.0
65,2026-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],413.0,9230432.0,200311.0
66,2026-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],293.0,9248766.0,200604.0
67,2026-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],238.0,9235258.0,200842.0
68,2026-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],201.0,9193240.0,201043.0
69,2027-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],170.0,9146195.0,201213.0
70,2027-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],97.0,9146292.0,201310.0
71,2027-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],77.0,9144182.0,201387.0
72,2027-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],55.0,9130732.0,201442.0
73,2027-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],36.0,9115207.0,201478.0
74,2027-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],22.0,9091554.0,201500.0
75,2027-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],12.0,9057286.0,201512.0
76,2027-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6.0,9016448.0,201518.0
77,2027-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,8975784.0,201522.0
78,2027-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,8987485.0,201525.0
79,2027-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,9011396.0,201528.0
