,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2017-04-01,GW_storage_AZ_APS_E_GW[AF],3.0,-436466.0,3.0
1,2017-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,-426557.0,5.0
2,2017-06-01,GW_storage_AZ_APS_E_GW[AF],2.0,-417000.0,7.0
3,2017-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,-407420.0,9.0
4,2017-08-01,GW_storage_AZ_APS_E_GW[AF],2.0,-397915.0,11.0
5,2017-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,-388658.0,13.0
6,2017-10-01,GW_storage_AZ_APS_E_GW[AF],2.0,-380084.0,15.0
7,2017-11-01,GW_storage_AZ_APS_E_GW[AF],2.0,-371735.0,17.0
8,2017-12-01,GW_storage_AZ_APS_E_GW[AF],2.0,-363558.0,19.0
9,2018-01-01,GW_storage_AZ_APS_E_GW[AF],2.0,-355337.0,21.0
10,2018-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,-347044.0,23.0
11,2018-03-01,GW_storage_AZ_APS_E_GW[AF],2.0,-340514.0,25.0
12,2018-04-01,GW_storage_AZ_APS_E_GW[AF],2.0,-333714.0,27.0
13,2018-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,-330021.0,29.0
14,2018-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,-323505.0,31.0
15,2018-08-01,GW_storage_AZ_APS_E_GW[AF],2.0,-334272.0,33.0
16,2018-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,-338811.0,35.0
17,2018-10-01,GW_storage_AZ_APS_E_GW[AF],2.0,-344075.0,37.0
18,2018-12-01,GW_storage_AZ_APS_E_GW[AF],2.0,-355865.0,39.0
19,2019-01-01,GW_storage_AZ_APS_E_GW[AF],2.0,-360586.0,41.0
20,2019-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,-364632.0,43.0
21,2019-04-01,GW_storage_AZ_APS_E_GW[AF],2.0,-392247.0,45.0
22,2019-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,-412467.0,47.0
23,2019-06-01,GW_storage_AZ_APS_E_GW[AF],2.0,-431163.0,49.0
24,2019-08-01,GW_storage_AZ_APS_E_GW[AF],2.0,-466671.0,51.0
25,2019-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,-483540.0,53.0
26,2019-10-01,GW_storage_AZ_APS_E_GW[AF],2.0,-499484.0,55.0
27,2019-12-01,GW_storage_AZ_APS_E_GW[AF],2.0,-466853.0,57.0
28,2020-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,-291157.0,59.0
29,2020-03-01,GW_storage_AZ_APS_E_GW[AF],2.0,-158399.0,61.0
30,2020-04-01,GW_storage_AZ_APS_E_GW[AF],2.0,-27727.0,63.0
31,2020-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,72425.0,65.0
32,2020-06-01,GW_storage_AZ_APS_E_GW[AF],2.0,136176.0,67.0
33,2020-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,190997.0,69.0
34,2020-08-01,GW_storage_AZ_APS_E_GW[AF],2.0,240299.0,71.0
35,2021-01-01,GW_storage_AZ_APS_E_GW[AF],106.0,439261.0,177.0
36,2021-02-01,GW_storage_AZ_APS_E_GW[AF],210.0,487778.0,387.0
37,2021-03-01,GW_storage_AZ_APS_E_GW[AF],315.0,534485.0,702.0
38,2021-04-01,GW_storage_AZ_APS_E_GW[AF],418.0,594972.0,1120.0
39,2021-05-01,GW_storage_AZ_APS_E_GW[AF],523.0,663006.0,1643.0
40,2021-06-01,GW_storage_AZ_APS_E_GW[AF],628.0,740956.0,2271.0
41,2021-07-01,GW_storage_AZ_APS_E_GW[AF],731.0,829525.0,3002.0
