,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2066-11-01,Unmet_Dem_IN_CA_IID[AF],-12564.0,15214042.0,-12564.0
1,2070-12-01,Unmet_Dem_IN_CA_IID[AF],12755.0,20684039.0,191.0
2,2029-05-01,Unmet_Dem_IN_CA_LADWP[AF],2366.0,552346.0,2366.0
3,2034-05-01,Unmet_Dem_IN_CA_LADWP[AF],64.0,1160066.0,2430.0
4,2036-05-01,Unmet_Dem_IN_CA_LADWP[AF],7562.0,2292634.0,9992.0
5,2036-06-01,Unmet_Dem_IN_CA_LADWP[AF],2813.0,2364644.0,12805.0
6,2037-05-01,Unmet_Dem_IN_CA_LADWP[AF],385.0,2834934.0,13190.0
7,2044-05-01,Unmet_Dem_IN_CA_LADWP[AF],5978.0,5448873.0,19168.0
8,2061-12-01,Unmet_Dem_IN_CA_LADWP[AF],1312.0,12274891.0,20480.0
9,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],19005.0,13587866.0,39485.0
10,2066-06-01,Unmet_Dem_IN_CA_LADWP[AF],9994.0,13891373.0,49479.0
11,2067-04-01,Unmet_Dem_IN_CA_LADWP[AF],13537.0,15838013.0,63016.0
12,2067-05-01,Unmet_Dem_IN_CA_LADWP[AF],19388.0,16129744.0,82404.0
13,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],24502.0,16400001.0,106906.0
14,2067-10-01,Unmet_Dem_IN_CA_LADWP[AF],10533.0,17500194.0,117439.0
15,2067-11-01,Unmet_Dem_IN_CA_LADWP[AF],1011.0,17754652.0,118450.0
16,2068-12-01,Unmet_Dem_IN_CA_LADWP[AF],8565.0,17995863.0,127015.0
17,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],21655.0,19090511.0,148670.0
18,2070-06-01,Unmet_Dem_IN_CA_LADWP[AF],12056.0,19363005.0,160726.0
19,2011-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],50.0,189.0,50.0
