,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2025-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-15.0,54375.0,-15.0
1,2025-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],44.0,69362.0,29.0
2,2025-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,80229.0,44.0
3,2025-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,86183.0,49.0
4,2025-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,89050.0,51.0
5,2066-11-01,Unmet_Dem_OUT_CA_IID[AF],-182.0,2729529.0,-182.0
6,2066-12-01,Unmet_Dem_OUT_CA_IID[AF],-134.0,2733925.0,-316.0
7,2070-12-01,Unmet_Dem_OUT_CA_IID[AF],159.0,3600726.0,-157.0
8,2029-05-01,Unmet_Dem_OUT_CA_LADWP[AF],551.0,133931.0,551.0
9,2034-05-01,Unmet_Dem_OUT_CA_LADWP[AF],13.0,271040.0,564.0
10,2036-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1702.0,515455.0,2266.0
11,2036-06-01,Unmet_Dem_OUT_CA_LADWP[AF],706.0,537567.0,2972.0
12,2037-05-01,Unmet_Dem_OUT_CA_LADWP[AF],61.0,648994.0,3033.0
13,2044-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1193.0,1140303.0,4226.0
14,2066-05-01,Unmet_Dem_OUT_CA_LADWP[AF],3236.0,2421912.0,7462.0
15,2066-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2000.0,2487688.0,9462.0
16,2067-04-01,Unmet_Dem_OUT_CA_LADWP[AF],524.0,2743788.0,9986.0
17,2067-05-01,Unmet_Dem_OUT_CA_LADWP[AF],3151.0,2788855.0,13137.0
18,2067-06-01,Unmet_Dem_OUT_CA_LADWP[AF],4975.0,2849562.0,18112.0
19,2067-10-01,Unmet_Dem_OUT_CA_LADWP[AF],1358.0,3096955.0,19470.0
20,2068-12-01,Unmet_Dem_OUT_CA_LADWP[AF],374.0,3133201.0,19844.0
21,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],3537.0,3301445.0,23381.0
22,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2417.0,3365984.0,25798.0
23,2013-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2.0,-1573.0,-2.0
24,2013-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-3.0,-1576.0,-5.0
25,2013-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-6.0,-1582.0,-11.0
26,2014-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],13.0,-1170.0,2.0
27,2014-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],12.0,5996.0,14.0
28,2014-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],148.0,8403.0,162.0
29,2020-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-6.0,8754.0,156.0
30,2020-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-12.0,8884.0,144.0
31,2020-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],11.0,13680.0,155.0
32,2020-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4.0,18380.0,159.0
33,2020-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1.0,18562.0,160.0
34,2020-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3.0,18606.0,163.0
35,2021-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],226.0,17050.0,389.0
36,2021-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],108.0,16715.0,497.0
